头实体,关系,尾实体
武林外史,出版社,河南文艺出版社
神探韩峰,出版社,中国画报出版社
丁腈橡胶复合材料改性及应用,出版社,中国石化出版社
爱情禅,出版社,哈尔滨出版社
这个大佬画风不对,连载平台,红袖添香网
大秦帝国,出版社,河南文艺出版社
大师在西藏,出版社,兰州大学出版社
水下猎手：水下最让人迷恋的动物故事,出版社,中国对外翻译出版公司
老公的私房钱,连载平台,17k小说网
分手那一天,连载平台,3G书城
集外集,出版社,外语教学与研究出版社
俄共理论与政策主张研究,出版社,中国社会科学出版社
高压直流输电与柔性交流输电控制装置,出版社,机械工业出版社
凶岛,出版社,浙江文艺出版社
七杀手,出版社,珠海出版社
美丽的契约,出版社,北京时代华文书局
女性健康事典,出版社,吉林科学技术出版社
护生画集,出版社,龙门书局
机器知行学原理,出版社,北京邮电大学出版社
视觉艺术思维,出版社,中国纺织出版社
国有资本经营预算管理,出版社,经济科学出版社
全球价值链下地方产业集群转型和升级,出版社,经济科学出版社
熊抱中，勿扰,出版社,黑龙江美术出版社
繁星·春水,出版社,万卷出版公司
日本儿童文学论,出版社,山东文艺出版社
建筑安装工程施工图集1,出版社,中国建筑工业出版社
阿罗史密斯,出版社,漓江出版社
冤家变亲家,连载平台,起点中文网
信仰的考古：中国宗教思想史纲要,出版社,南开大学出版社
荔湖城记--新城市漫谈,出版社,黑龙江美术出版社
花风,出版社,接力出版社
无法呼吸,出版社,中国友谊出版公司
刺青,出版社,海峡书局出版社
通用航空的基石：FBO,出版社,航空工业出版社
狱中记,出版社,浙江文艺出版社
品牌工程学：定价权是这样获得的,出版社,经济科学出版社
岳飞传,出版社,北京少年儿童出版社
姊妹情,出版社,海峡文艺出版社
时笙,出版社,青岛出版社
大唐双龙传,出版社,云南人民出版社
中国管理C模式,出版社,新华出版社
恋着你,连载平台,晋江文学城
出纳技能实战,出版社,江苏教育出版社
打造一流之才,出版社,湖南人民出版社
卧虎藏龙,出版社,长江文艺出版社
房地产经济论,出版社,经济科学出版社
午夜惊魂,出版社,广西民族出版社
那小子真帅2,出版社,世界知识出版社
不能在一起,连载平台,起点中文网
老子通证,出版社,华东师范大学出版社
音乐=影像≠音乐,出版社,接力出版社
蓝色的忧郁,连载平台,起点中文网
金融制度设计与经济增长,出版社,经济科学出版社
三只骄傲的小猫,出版社,少年儿童出版社
飞刀又见飞刀,出版社,北岳文艺出版社
伪自由书,出版社,外文出版社
乌龙院,出版社,现代出版社
国有商业银行理财方略,出版社,中国金融出版社
银币赐的婚礼,出版社,知识出版社
凉生，我们可不可以不忧伤,出版社,江苏凤凰文艺出版社
爱你的资格,连载平台,起点中文网
纸墨勾当,出版社,新世界出版社
时光与少年都已沉旧,出版社,武汉出版社
万绿从中一点红,连载平台,起点中文网
屠夫状元,出版社,中国电影出版社
谁欠谁一场误会,出版社,国际文化出版公司
过来人告诉我的99句人生箴言,出版社,北京工业大学出版社
转型时期中国旅游产业环境、制度与模式研究,出版社,旅游教育出版社
暗黑神探,出版社,同心出版社
绚烂烟火,连载平台,17k小说网
哆来咪发唆,出版社,中国城市出版社
中国儿童文学的走向,出版社,少年儿童出版社
会计电算化应用,出版社,中南大学出版社
感悟乡情,出版社,中国对外翻译出版公司
交直流电力系统动态行为分析,出版社,机械工业出版社
天才基本法,连载平台,晋江文学城
笑容女王蔡波波：超级无敌的爱,出版社,浙江少年儿童出版社
爱得很小心,连载平台,3G书城
西洋美术史,出版社,岳麓书社
孕产营养万事通,出版社,中国纺织出版社
两个家庭,出版社,当代世界出版社
哲学与美学问题,出版社,武汉大学出版社
行运超人,出版社,集英社
阿弥陀经：附无量寿经·观无量寿经,出版社,中州古籍出版社
冬儿姑娘,出版社,四川少年儿童出版社
醉饮红尘,连载平台,晋江文学城
开花的树,连载平台,晋江文学城
让我守护你,连载平台,起点中文网
飞过蓝天,出版社,湖南人民出版社
全球化下的北京旅游发展战略,出版社,旅游教育出版社
一切如梦,连载平台,17k小说网
岭表纪年/所知录/天南逸史,出版社,浙江古籍出版社
花开满园,连载平台,起点中文网
乌龙院·狂师猛徒,出版社,北方妇女儿童出版社
大竹岚啊大竹岚,出版社,中国少年儿童出版社
这个大佬画风不对,连载平台,起点女生网
锁心恋,连载平台,小说阅读网
南归,出版社,长江文艺出版社
乌龙院大长篇漫画系列（卷八）,出版社,黑龙江美术出版社
顾亭林诗集汇注,出版社,上海古籍出版社
中认知语义学研究,出版社,上海外语教育出版社
护花铃,出版社,珠海出版社
秋：Autumn,出版社,华语教学出版社
2005人文中国,出版社,广东人民出版社
月异星邪,出版社,河南文艺出版社
超越自我：我的黑白世界,出版社,中央编译出版社
雨,出版社,中国国际广播出版社
品味人生,出版社,线装书局
电影表演美学研究,出版社,中国电影出版社
吐着泡泡说爱你,出版社,北岳文艺出版社
中国律师文书范本,出版社,民主与建设出版社
剑气书香,出版社,中山大学出版社
博士见鬼,出版社,海豚出版社
意拳推手技法汇综,出版社,北京体育大学出版社
门槛上的民国,出版社,新星出版社
汉武大帝,出版社,三秦出版社
大地飞鹰,出版社,珠海出版社
记忆（第1辑）,出版社,中国工人出版社
不省心,出版社,长江文艺出版社
2007文学中国,出版社,花城出版社
斯人独憔悴,出版社,福建人民出版社
两个冬天,连载平台,晋江文学城
现代公司治理：董事会与CEO的较量及制衡,出版社,经济科学出版社
心理咖啡,出版社,上海辞书出版社
隐秀轩集,出版社,上海古籍出版社
回到思想的本源：中西哲学与马克思哲学的对话,出版社,北京师范大学出版社
语言是我们的居所,出版社,辽宁教育出版社
局外人,出版社,中国城市出版社
昨日星辰,连载平台,起点中文网
近代中国的不平等条约,出版社,上海书店出版社
乌龙院大长篇漫画系列27卷,出版社,黑龙江美术出版社
生生之德,出版社,中华书局
国民党四十三位：战犯的最后结局,出版社,中共党史出版社
说儒,出版社,中国妇女出版社
刹那之间,连载平台,起点中文网
二十四史全译,出版社,同心出版社
上海市中学生年度最佳作文选,出版社,华东师范大学出版社
剑客行,出版社,珠海出版社
名剑风流,出版社,河南文艺出版社
暗香--中短篇小说珍藏本,出版社,中国社会出版社
小半生,出版社,万卷出版公司
中国类科学,出版社,上海交通大学出版社
名博是怎样炼成的,出版社,机械工业出版社
国企改制与传统产业工人转型,出版社,社会科学文献出版社
灰色的心灵风暴：解读抑郁症之谜,出版社,安徽人民出版社
马桥词典,出版社,作家出版社
苍穹神剑,出版社,河南文艺出版社
不会再爱你,连载平台,红袖添香网
阿咪子故事绘,出版社,北方妇女儿童出版社
第二个我们,连载平台,17k小说网
做人不要太过分,出版社,百花洲文艺出版社
世界是平的,出版社,湖南科学技术出版社
中国汽车制造业企业发展战略,出版社,经济管理出版社
难以言说的秘密,出版社,山东文艺出版社
徒然草,出版社,中国长安出版社
暖擎天,连载平台,起点中文网
神农本草经读,出版社,学苑出版社
你的名我的命,连载平台,纵横中文网
命运之轮-今生,出版社,文化艺术出版社
罗辑课：24个妈妈教我的街头智慧,出版社,化学工业出版社
我们的荆轲,出版社,作家出版社
风铃中的刀声,出版社,珠海出版社
中国水文地理,出版社,科学出版社
跟踪8,出版社,上海人民出版社
消费、偏好与资产收益,出版社,格致出版社
笑容女王蔡波波：超级无敌的爱,出版社,浙江出版联合集团
微风吹过圣芭芭拉,出版社,黑龙江美术出版社
世界史纲,出版社,华东师范大学出版社
完美孕产一本全,出版社,中国人口出版社
现时代的群学：从精神分析到政治哲学,出版社,中国法制出版社
家,出版社,知识出版社
十七楼的幻想,出版社,上海书店出版社
第四病室,出版社,良友图书公司
华瞻的日记,出版社,中国少年儿童出版社
