头实体,关系,尾实体
片冈礼子,毕业院校,明星大学
西安美术学院,知名人物,潘晓东
宋双佳,毕业院校,北京电影学院
中山大学,知名人物,彭清华
王鲁,毕业院校,北京师范大学
北京电影学院,知名人物,陈伟栋
香港科技大学,知名人物,吴苏
杨涌,毕业院校,中央戏剧学院
中国社会科学院研究生院,历任领导,朱佳木
兰州交通大学,知名人物,朱琨
娄乃鸣,毕业院校,中央戏剧学院导演系
潘之琳,毕业院校,北京电影学院
山西大学,历任领导,秦良玉
上海师范大学,知名人物,刘湘晨
西南大学,知名人物,胡锦矗
西安交通大学,知名人物,沈祖炎
李泽锋,毕业院校,中央戏剧学院表演系
余敏明,毕业院校,电子科技大学
白冰可,毕业院校,上海戏剧学院
崔锐捷,毕业院校,哈尔滨工程大学
贾金金,毕业院校,北京舞蹈学院
合肥工业大学,知名人物,安进
香港大学,知名人物,陈祖泽
坎迪斯·伯根,毕业院校,宾夕法尼亚大学
香港科技大学,知名人物,周亚虹
大和田伸也,毕业院校,早稻田大学
黑龙江大学,知名人物,陶一桃
首尔艺术大学,知名人物,黄政民
谭凯,毕业院校,中央戏剧学院
同济大学,知名人物,郑惠强
西北工业大学,知名人物,张沛霖
西安美术学院,知名人物,罗铭
河国荣,毕业院校,新南威尔士大学
顾艳,毕业院校,上海戏剧学院
中国社会科学院研究生院,知名人物,施明慎
成均馆大学,知名人物,郭正旭
张佳宁,毕业院校,中央戏剧学院
章劼,毕业院校,中央戏剧学院
任泽巍,毕业院校,中央戏剧学院
李晓川,毕业院校,云南艺术学院
合肥工业大学,知名人物,郑牧民
香港科技大学,知名人物,才清华
丰迪帕·瓦查拉泽固,毕业院校,泰国易三仓大学
华东师范大学,知名人物,游旭群
任伟,毕业院校,中央戏剧学院
南京艺术学院,知名人物,徐乐
西安交通大学,知名人物,李伯虎
成都理工大学,知名人物,李天斌
中国科学院大学,历任领导,谷超豪
刘若庄,毕业院校,北京大学
圣约翰大学,知名人物,马兖生
李朝晖,毕业院校,湖南农业大学
杨斌,毕业院校,中国人民大学
南京邮电大学,现任领导,谢平
东南大学自动化学院,历任领导,魏海坤
合肥工业大学,知名人物,唐承沛
西南交通大学,知名人物,魏寿昆
卢巧音,毕业院校,香港知专设计学院
中山大学,知名人物,斯行健
东国大学,知名人物,李孝正
西安交通大学,知名人物,曹春晓
李娟,毕业院校,河北师范大学
刘哲玮,毕业院校,北京大学
中国美术学院,知名人物,李霖灿
中国作家协会,历任领导,陈崎嵘
西安交通大学,知名人物,周镜
白宇帆,毕业院校,南京艺术学院
黄晶,毕业院校,清华大学
燕京大学,知名人物,刘耘诚
陈数,毕业院校,中央戏剧学院
湘潭大学,知名人物,刘平春
国立西南联合大学,知名人物,陈桢
东南大学,知名人物,竺可桢
吉林大学,现任领导,王利锋
戴先中,毕业院校,江苏大学
西安交通大学,知名人物,李济生
北京师范大学,历任领导,董奇
韩智慧,毕业院校,世宗大学
王晖,毕业院校,武汉大学
河北大学,知名人物,程民生
中国传媒大学,知名人物,敬一丹
黄白露,毕业院校,上海戏剧学院
大连理工大学,现任领导,李成恩
重庆大学,知名人物,刘清友
圣约翰大学,知名人物,张乃峥
复旦大学,知名人物,左焕琛
西南交通大学,知名人物,丁建隆
李军,毕业院校,东北石油大学
马蓉,毕业院校,西北大学新闻传播学院
南开大学,知名人物,谷书堂
车永莉,毕业院校,中央戏剧学院
小毛,毕业院校,中央戏剧学院
肖军,毕业院校,清华大学
崔翔宇,毕业院校,北京演艺专修学院
包贝尔,毕业院校,北京电影学院
北京电影学院,知名人物,潘雨辰
香港中文大学,知名人物,邝其志
黄俊淇,毕业院校,星海音乐学院
西安交通大学,知名人物,顾翼东
泰莎昂·派索克乔纶,毕业院校,朱拉隆功大学
香港中文大学,知名人物,陈伟仪
乔什·汉弥尔顿,毕业院校,布朗大学
南京艺术学院,历任领导,陈鹏年
华东师范大学,知名人物,马革顺
查恩雅·麦克洛里,毕业院校,兰实大学
中国传媒大学,知名人物,杨帆
张庭菲,毕业院校,中央戏剧学院
复旦大学,知名人物,丁薛祥
靳东,毕业院校,中央戏剧学院
西安交通大学,知名人物,武津生
亚历桑德罗·尼沃拉,毕业院校,耶鲁大学
香港城市大学,知名人物,魏华星
中国社会科学院研究生院,历任领导,浦山
南开大学,知名人物,姚守拙
中国作家协会,现任领导,张宏森
香港大学,历任领导,王赓武
香港中文大学,知名人物,杨旸
华中师范大学,知名人物,刘同舫
河北师范大学,知名人物,袁志刚
白月,毕业院校,北京电影学院
庞瀚辰,毕业院校,中国传媒大学
陈希孺,毕业院校,武汉大学
北京电影学院,知名人物,姚晨
高一仁,毕业院校,北京电影学院
吉林大学,现任领导,蔡立东
李珠妍,毕业院校,同德女子大学
肖延高,毕业院校,四川师范大学
大连艺术学院,知名人物,姜寒
西安交通大学,知名人物,李寿生
王海滨,毕业院校,中国农业大学
北京大学,知名人物,向达
何灏浩,毕业院校,广州大学
南京师范大学,历任领导,艾伟
卢秉恒,毕业院校,西安交通大学
刘在石,毕业院校,首尔艺术大学
香港科技大学,知名人物,朱虹
杭州电子科技大学,知名人物,朱以明
沈世钊,毕业院校,哈尔滨工业大学
河北大学,现任领导,孟庆瑜
哈尔滨工业大学,知名人物,朱物华
湘潭大学,知名人物,汪夏燕
西安交通大学,知名人物,雷菊芳
东南大学,历任领导,黄如
香港中文大学,知名人物,宋春桥
田征,毕业院校,中央戏剧学院表演系
布拉德·道里夫,毕业院校,哥伦比亚大学
香港中文大学,知名人物,陈景祥
穆婷婷,毕业院校,北京电影学院
北京外国语大学,知名人物,姜恩柱
西安交通大学,知名人物,鲍亦兴
程青,毕业院校,南京大学
王立新,毕业院校,香港中文大学
西南交通大学,知名人物,茅以升
陈洁仪,毕业院校,新加坡拉萨尔艺术学院
中国传媒大学,知名人物,秦方
国立西南联合大学,知名人物,陈力为
西安交通大学,知名人物,彭康
北京电影学院,知名人物,赵雅莉
华中师范大学,知名人物,杨宗凯
北京理工大学,知名人物,李鹏
王菀之,毕业院校,香港演艺学院
重庆交通大学,现任领导,宫辉
上海师范大学,知名人物,吴延安
中国社会科学院研究生院,知名人物,肖微
西安交通大学,知名人物,朱物华
尹泽勇,毕业院校,北京航空航天大学
北京电影学院,知名人物,车晓
吕毅,毕业院校,上海戏剧学院
湖南大学,知名人物,沈梦辰
南洋理工大学,知名人物,吴天胜
清华大学,历任领导,张孝文
申林,毕业院校,中国传媒大学
西安交通大学,知名人物,韩志玉
安徽师范大学,知名人物,张雪平
香港城市大学,知名人物,陆恭蕙
电子科技大学,知名人物,李正茂
哈尔滨工业大学,知名人物,吕跃广
西安交通大学,知名人物,姜晶
重庆南开中学,知名人物,陆钟武
王金辉,毕业院校,北京师范大学
四川师范大学,知名人物,院士
四川师范大学,知名人物,侍俊
宋美洁,毕业院校,浙江传媒学院
余家国,毕业院校,武汉理工大学
华中师范大学,知名人物,文双春
魏晚秋,毕业院校,南京艺术学院
凯瑟琳·沃特斯顿,毕业院校,纽约大学帝势艺术学院
西南交通大学,历任领导,李书田
南开大学,知名人物,孙临平
西安交通大学,知名人物,顾夏声
四川师范大学,知名人物,张廷安
罗海琼,毕业院校,上海戏剧学院
李世扬,毕业院校,世新大学
北京交通大学,知名人物,施仲衡
香港中文大学,知名人物,叶文娟
湖南大学,知名人物,肖钢
海南大学,知名人物,符气浩
徐好,毕业院校,北京电影学院
萨兰·西里拉克,毕业院校,兰实大学
中山大学,知名人物,潘钟祥
郑昊,毕业院校,中国人民解放军国防大学军事文化学院
哈尔滨工业大学,知名人物,刘竹生
上海理工大学,知名人物,纪育沣
中国人民大学,现任领导,郑新业
重庆工商大学,现任领导,赵骅
西安交通大学,知名人物,孙建科
路晨,毕业院校,北京电影学院
中央财经大学,知名人物,王广谦
杜德伟,毕业院校,多伦多科技学院
谭垚君,毕业院校,上海戏剧学院
南京师范大学,历任领导,韦悫
西安交通大学,知名人物,温熙森
湖南大学,知名人物,赵跃宇
吴健雄,毕业院校,加利福尼亚大学
杨雨橙,毕业院校,北京电影学院
香港中文大学,知名人物,郑绍远
邓飞,毕业院校,北京电影学院
华中师范大学,知名人物,周洪宇
尚斯琪,毕业院校,北京城市学院
中山大学,知名人物,黄淑和
王轶,毕业院校,吉林大学
南京师范大学,知名人物,李瑞清
周陆啦,毕业院校,中央戏剧学院
周靖潼,毕业院校,中央戏剧学院
金雄,毕业院校,东北师范大学
国立西南联合大学,知名人物,池际尚
北京工商大学,知名人物,卢彦
广州南方学院,现任领导,李建超
香港中文大学,知名人物,吴显光
北京师范大学,现任领导,陈兴
申河均,毕业院校,首尔艺术大学
京都大学,知名人物,根岸英一
陈嘉仪,毕业院校,无线电视艺员训练班
高瑜,毕业院校,山东艺术学院
黄先海,毕业院校,复旦大学
刘家良,毕业院校,山东艺术学院
徐熙媛,毕业院校,台北市华冈艺术学校
华东师范大学,知名人物,王沪宁
湘潭大学,知名人物,李锦涛
中山大学,知名人物,梁伯强
西南大学,历任领导,何文俊
东北石油大学,知名人物,贺诗波
三代目 J SOUL BROTHERS from EXILE TRIBE,成员,NAOTO
潘文柏,毕业院校,无线电视艺员训练班
北京大学,历任领导,何燏时
陈晴漪,毕业院校,上海师范大学
北京工商大学,知名人物,潘蓓蕾
河北师范大学,知名人物,蔡继明
东南大学,历任领导,吴有训
国家体育总局,历任领导,王猛
魏哲鸣,毕业院校,天津师范大学
赵露思,毕业院校,明道大学
中国作家协会,现任领导,欧阳黔森
哈尔滨工业大学,现任领导,熊四皓
沈阳师范大学,知名人物,任子威
湘潭大学,知名人物,陈质颖
亨利·查尔斯·阿尔伯特·大卫·蒙巴顿-温莎,毕业院校,桑赫斯特皇家军事学院
彭豆豆,毕业院校,北京电影学院
中山大学,现任领导,林天歆
北京电影学院,知名人物,芦芳生
利兹大学,知名人物,威廉·亨利·布拉格
大连艺术学院,知名人物,管栎
同济大学,知名人物,吴念祖
上海师范大学,知名人物,方杰
张默,毕业院校,中央戏剧学院
吴启明,毕业院校,无线电视艺员训练班
香港中文大学,知名人物,梁丽蓉
四川师范大学,知名人物,张荣
张鹏,毕业院校,中国地质大学（北京）能源学院
徐亚平,毕业院校,合肥工业大学
哈佛大学,知名人物,拉瑟福德·伯查德·海斯
香港科技大学,知名人物,刘建钊
王涛,毕业院校,上海戏剧学院
吉林艺术学院,知名人物,侯天来
张焕水,毕业院校,东北大学
山西大学,知名人物,窦文章
北京师范大学,知名人物,陆宗达
中国人民大学,知名人物,刘明辉
西安交通大学,知名人物,汪菊潜
南开大学,知名人物,母国光
薛凯琪,毕业院校,香港城市大学
张慧雯,毕业院校,北京舞蹈学院
重庆大学,知名人物,周绪红
伦敦大学,知名人物,行政院长
钱端升,毕业院校,哈佛大学
重庆大学,知名人物,江泽佳
德乾旺姆,毕业院校,青海师范大学
上海理工大学,知名人物,陈元
高峰,毕业院校,北京师范大学
钱伟长,毕业院校,多伦多大学
西南大学,知名人物,赖以庄
李敏妍,毕业院校,上海交通大学
北京电影学院,知名人物,翟俊杰
中国作家协会,历任领导,陈建功
黄宗洛,毕业院校,中央戏剧学院
北京电影学院,知名人物,白卉子
张鹭,毕业院校,中央戏剧学院
香港大学,历任领导,赖廉士
张琳,毕业院校,北京电影学院
北京电影学院,知名人物,卢杉
华中师范大学,知名人物,翟天山
重庆大学,知名人物,景柱
国立西南联合大学,知名人物,汪家鼎
泰贡·康恰,毕业院校,泰国国立法政大学
重庆大学,知名人物,王琪博
延边大学,知名人物,金振吉
西安交通大学,知名人物,贺林
北京电影学院,知名人物,何美璇
杨方旭,毕业院校,山东体育学院
西北政法大学,知名人物,蔡宁
吴枫,毕业院校,西安电子科技大学
东南大学,知名人物,徐冠仁
上海理工大学,知名人物,邱式邦
西安交通大学,知名人物,胡光镇
林炎志,毕业院校,武汉大学
哈佛大学,知名人物,曾荫权
中央财经大学,知名人物,魏盛鸿
张璇,毕业院校,北京电影学院
莫玮,毕业院校,西安电子科技大学
蔡锷,毕业院校,日本陆军士官学校
河北师范大学,知名人物,格桑德吉
北京工商大学,历任领导,夏德钤
西安交通大学,知名人物,姚秀平
北京外国语大学,知名人物,赵进军
西安电子科技大学,知名人物,黄萍
上海理工大学,知名人物,刘元方
西安交通大学,知名人物,王之卓
吴珊珊,毕业院校,上海戏剧学院
张军,毕业院校,北京航空航天大学
丁冠森,毕业院校,中国传媒大学
国立西南联合大学,知名人物,朱光亚
张嘉飞,毕业院校,上海戏剧学院
香港中文大学,知名人物,庄伟茵
陈昊,毕业院校,中南财经政法大学
上海大学,知名人物,尹弘
中国作家协会,历任领导,吉狄马加
陈政阳,毕业院校,中央戏剧学院表演系
杨小波,毕业院校,北京电影学院
万茜,毕业院校,上海戏剧学院
张静,毕业院校,北京电影学院
西安美术学院,知名人物,郭北平
石天硕,毕业院校,北京电影学院
何龙雨,毕业院校,中央民族大学
苏翊鸣,毕业院校,清华大学
香港中文大学,知名人物,麦美娟
华东师范大学,现任领导,周傲英
西安交通大学,知名人物,王卫东
南京师范大学,现任领导,黄和
湖南师范大学,知名人物,李适时
谢安琪,毕业院校,香港大学文学院
湖南大学,知名人物,徐特立
艾东,毕业院校,吉林艺术学院
燕京大学,知名人物,萧乾
北京师范大学,历任领导,高沂
河北师范大学,领导,刘敬泽
北京电影学院,知名人物,贡米
郝文婷,毕业院校,山西大学
吴建敏,毕业院校,厦门大学
海南大学,知名人物,林位夫
郑州大学,现任领导,徐东升
陆思宇,毕业院校,北京电影学院
刘晖,毕业院校,江西师范大学
中华全国新闻工作者协会,历任领导,翟惠生
西南大学,知名人物,尧德中
章建跃,毕业院校,浙江师范大学
北京外国语大学,知名人物,傅莹
四川师范大学,知名人物,周薇
沈阳工业大学,现任领导,聂鹏
香港大学,知名人物,陈兆恺
安徽师范大学,知名人物,孙长永
黄诗佳,毕业院校,上海戏剧学院
程澄,毕业院校,北京电影学院
南京邮电大学,知名人物,张钧安
纽约大学,知名人物,阿尔伯特·沙宾
宫媛,毕业院校,北京电影学院
杨昆,毕业院校,上海戏剧学院
西安交通大学,知名人物,赵佩之
马丽,毕业院校,北京大学
四川农业大学,知名人物,陈育新
李兰迪,毕业院校,中央戏剧学院
西南交通大学,知名人物,刘恢先
陈伟栋,毕业院校,北京电影学院
北京外国语大学,历任领导,罗清
沈阳音乐学院,知名人物,张前
何其炜,毕业院校,北京师范大学
古明华,毕业院校,香港演艺学院
西南交通大学,现任领导,闫学东
重庆大学新闻学院,现任领导,龙伟
台湾大学,知名人物,蔡英文
吉林大学,知名人物,巴音朝鲁
湖南师范大学,历任领导,张国骥
陈婉婷,毕业院校,香港理工大学
王强,毕业院校,上海戏剧学院
魏一,毕业院校,北京舞蹈学院
中国传媒大学,知名人物,方静
复旦大学,知名人物,丁国荣
清华大学,现任领导,杨斌
北京交通大学,知名人物,安立敏
高以翔,毕业院校,卡普兰诺大学
东国大学,知名人物,李德华
何塞·费勒,毕业院校,普林斯顿大学
东北石油大学,知名人物,林春明
苏森,毕业院校,四川大学
北京电影学院,知名人物,丁荫楠
南京师范大学,现任领导,程天君
香港中文大学,知名人物,林伟中
香港中文大学,知名人物,刘辉
北京电影学院,知名人物,寇振海
西安交通大学,历任领导,关赓麟
京都大学,知名人物,万城目学
邵象华,毕业院校,伦敦大学
黑龙江大学,知名人物,杨震
东南大学,现任领导,黄如
北京电影学院,知名人物,刘琳
上海工程技术大学,现任领导,俞涛
合肥工业大学,知名人物,唐军
刘云天,毕业院校,中国戏曲学院
华中师范大学,知名人物,金安江
暨南大学,历任领导,周耀明
王戈,毕业院校,中国传媒大学
北京大学,知名人物,张宗燧
林欣彤,毕业院校,香港专业教育学院
香港中文大学,知名人物,张志刚
褚应璜,毕业院校,国立交通大学
中山大学,知名人物,鲁迅
戴世光,毕业院校,清华大学
安徽大学,现任领导,钱家盛
张文中,毕业院校,中国科学院
劳伦·霍莉,毕业院校,劳伦斯学院
应雨宸,毕业院校,中央戏剧学院
香港城市大学,知名人物,薛凯琪
侯健,毕业院校,郑州大学
同济大学,知名人物,宋原生
海南大学,知名人物,陈成
李江,毕业院校,西南财经大学
古典,毕业院校,北京电影学院
北京大学,历任领导,林建华
西安电子科技大学,知名人物,杨宏
薛芷伦,毕业院校,纽约大学
北京理工大学,知名人物,杨勇平
北京大学,知名人物,许杰
兰州交通大学,知名人物,陈后金
吴中福,毕业院校,重庆大学
中央财经大学,知名人物,李晓林
同济大学,知名人物,丁力业
石岛,毕业院校,浙江传媒学院
张嘉益,毕业院校,北京电影学院
华中师范大学,现任领导,夏立新
同济大学,知名人物,张剑飞
上海理工大学,知名人物,章乃器
中国传媒大学,知名人物,王雪纯
香港中文大学,知名人物,蔡若莲
田依桐,毕业院校,上海戏剧学院
东国大学,知名人物,金敏珠
北京电影学院,知名人物,王蕊
圣约翰大学,知名人物,邹文怀
王子文,毕业院校,中央戏剧学院
马吟吟,毕业院校,电子科技大学信息与通信工程学院
西安交通大学,知名人物,吴承康
黄虎,毕业院校,西安交通大学
魏雨萱,毕业院校,北京联合大学
武汉科技大学,知名人物,于文博
中国人民大学,知名人物,刘强东
狄菲菲,毕业院校,上海戏剧学院
胡浩博,毕业院校,湖南大学
中国作家协会,历任领导,延泽民
中国科学技术协会,历任领导,尚勇
北京交通大学,现任领导,蓝晓霞
孙江涛,毕业院校,北京航空航天大学
北京大学,知名人物,彭桓武
景珂,毕业院校,北京电影学院
中国人民大学,历任领导,靳诺
重庆大学,知名人物,周国富
陈志新,毕业院校,北京大学
山西大学,历任领导,王怀明
田壮壮,毕业院校,北京电影学院
同济大学,历任领导,钟志华
四川师范大学,知名人物,向宝云
中央研究院,历任领导,廖俊智
东北石油大学,知名人物,赵冠军
杭州电子科技大学,知名人物,严晓浪
东南大学,知名人物,胡经甫
上海师范大学,知名人物,赵薇
李盟,毕业院校,中央戏剧学院
李晨,毕业院校,北京群星表演艺术学校
香港大学,知名人物,郑耀宗
闻一多,毕业院校,清华大学
吴季,毕业院校,丹麦技术大学
哈尔滨工业大学,知名人物,余梦伦
山西大学,历任领导,王录勋
中国传媒大学,知名人物,李咏
南开大学,知名人物,张伯苓
黄宇诗,毕业院校,哥伦比亚大学
南开大学,知名人物,徐绍史
陈圣杰,毕业院校,上海戏剧学院戏曲学院
中央财经大学,知名人物,王德衍
唐任远,毕业院校,交通大学
华中师范大学,知名人物,文君
西安交通大学,历任领导,潘季
郑杭生,毕业院校,中国人民大学
中国传媒大学,知名人物,孙小梅
严宽,毕业院校,上海戏剧学院
兰州交通大学,知名人物,吴文清
周婷,毕业院校,香港演艺学院
湘潭大学,知名人物,廖永安
王俊东,毕业院校,上海戏剧学院
西安电子科技大学,历任领导,陈治亚
国立西南联合大学,知名人物,冯景兰
大卫·尼文,毕业院校,桑赫斯特皇家军事学院
吴双,毕业院校,四川传媒学院
香港大学,知名人物,颜庆云
刘佳,毕业院校,北京电影学院
西安交通大学,现任领导,王树国
复旦大学,知名人物,张黎刚
苏可,毕业院校,中央戏剧学院
中国传媒大学,知名人物,张丹丹
重庆南开中学,知名人物,王荣年
北京大学,现任领导,陈宝剑
成均馆大学,知名人物,徐信爱
卢嘉锡,毕业院校,厦门大学
湖南大学,知名人物,陈立东
复旦大学,知名人物,韩启德
向达,毕业院校,东南大学
晏绍祥,毕业院校,安徽师范大学
杨宏,毕业院校,中国空间技术研究院
赵雷棋,毕业院校,中央戏剧学院
吴建飞,毕业院校,北京电影学院
北京电影学院,知名人物,郭凯敏
四川师范大学,知名人物,张健
宋立新,毕业院校,中国人民大学
国立西南联合大学,知名人物,孟昭英
吴俊霆,毕业院校,上海戏剧学院
北京师范大学,历任领导,朱益藩
东南大学,历任领导,林克
丁凯,毕业院校,中央戏剧学院
黑龙江大学,知名人物,李锡胤
北京大学哲学系,现任领导,韩水法
梁海山,毕业院校,西安交通大学
南京师范大学,历任领导,师图尔
毕彦君,毕业院校,上海戏剧学院
香港中文大学,现任领导,段崇智
孟可,毕业院校,中央音乐学院
北京电影学院,知名人物,杨雪
同济大学,知名人物,张祖勋
北京师范大学,现任领导,涂清云
东北石油大学,知名人物,何树山
北京交通大学,知名人物,罗文
北京大学,知名人物,黄汲清
利兹大学,知名人物,那木巴尔·恩赫巴亚尔
西安交通大学,知名人物,严恺
王莉霞,毕业院校,辽宁大学
奇道,毕业院校,中央戏剧学院
成均馆大学,知名人物,李泰焕
郑州大学,现任领导,韩国河
西安交通大学,知名人物,方俊
星海音乐学院,知名人物,歌手
程韦然,毕业院校,上海戏剧学院
中国人民大学,知名人物,肖扬
南开大学,知名人物,余国琮
杭州电子科技大学,知名人物,阳一
兰州交通大学,知名人物,李国良
中国作家协会,历任领导,吴义勤
蔡芷纭,毕业院校,实践大学
孙春蓝,毕业院校,名古屋大学
北京电影学院,知名人物,路晨
南开大学,知名人物,李正名
杨紫,毕业院校,北京电影学院
高云龙,毕业院校,清华大学
国立西南联合大学,知名人物,曹建猷
中央财经大学,知名人物,姚遂
南开大学,知名人物,加拿大皇家科学院院士
西南交通大学,知名人物,李士豪
西北工业大学,知名人物,刘晓江
史际春,毕业院校,中国人民大学
鲍莉,毕业院校,上海戏剧学院
山西大学,知名人物,薛军
四川师范大学,知名人物,陈泉
同济大学,知名人物,张建慧
钱理群,毕业院校,中国人民大学
陈卫国,毕业院校,南京工业大学
酒井美纪,毕业院校,亚细亚大学
香港中文大学,知名人物,张卫
西安交通大学,知名人物,李天和
北京交通大学,知名人物,田卿
穆德远,毕业院校,北京电影学院
崔永,毕业院校,中央戏剧学院表演系
迫庆一郎,毕业院校,东京工业大学
杨俊勇,毕业院校,中央戏剧学院
万荣玉,毕业院校,犹他大学
早稻田大学,创始人,大隈重信
王森,毕业院校,中国戏曲学院
吉林大学,知名人物,叶冬松
魏一鸣,毕业院校,北京科技大学
中央戏剧学院,知名人物,古榕
湖南大学,知名人物,赵师梅
国立西南联合大学,知名人物,孟少农
香港中文大学,知名人物,杨凤如
朱媛媛,毕业院校,中央戏剧学院
中国科学技术协会,现任领导,王博
张艺兴,毕业院校,湖南师范大学附属中学
刘海波,毕业院校,北京航空航天大学
徐步,毕业院校,武汉大学
李欢,毕业院校,北京师范大学
李科,毕业院校,北京林业大学
中国传媒大学,知名人物,鲁健
同济大学,知名人物,朱洪元
四川农业大学,现任领导,刘鹏
南京师范大学,知名人物,罗炳之
复旦大学,知名人物,程天权
刘振东,毕业院校,伦敦大学
刘竞,毕业院校,北京电影学院
伦敦大学,知名人物,伊拉克总理
张晨,毕业院校,斯坦福大学
香港大学,知名人物,林瑞麟
合肥工业大学,知名人物,冯鑫
成均馆大学,知名人物,裴勇俊
武汉科技大学,知名人物,宋力维
西安美术学院,知名人物,张叔瀛
辛迪·基罗,毕业院校,梅西大学
邓良基,毕业院校,波恩大学
北京外国语大学,知名人物,石春来
西南交通大学,知名人物,谢用九
陈冠甯,毕业院校,上海戏剧学院
王建军,毕业院校,中国人民大学
重庆工商大学,知名人物,聂海英
西安美术学院,知名人物,徐风
王中磊,毕业院校,北京青年政治学院
于月仙,毕业院校,中央戏剧学院表演系
中国科学院大学,历任领导,管惟炎
上海理工大学,知名人物,龚祥瑞
香港城市大学,知名人物,梁少康
穆立新,毕业院校,中国戏曲学院
东南大学,知名人物,戴芳澜
白胜贤,毕业院校,中央大学
湘潭大学,知名人物,徐阳光
塔纳波·里拉塔纳卡邹,毕业院校,泰国农业大学
北京电影学院,知名人物,孟子义
复旦大学,知名人物,杨福家
华东理工大学,现任领导,李剑
刘晟豪,毕业院校,北京电影学院
重庆大学,知名人物,李玉光
四川师范大学,知名人物,马昆
连奕名,毕业院校,中国戏曲学院
香港中文大学,知名人物,谢凌洁贞
北京工商大学,知名人物,张兰
利兹大学,知名人物,肯妮贝儿
重庆工商大学,现任领导,柏群
任敏,毕业院校,中央戏剧学院表演系
南开大学,知名人物,李善友
江欣燕,毕业院校,圣士提反女子中学
中央财经大学,知名人物,王希坤
保罗在美国,毕业院校,哥伦比亚大学
湘潭大学,知名人物,舒斌
西安交通大学,知名人物,葛守仁
王涛,毕业院校,中央戏剧学院
北京大学,知名人物,王叔咸
刘鹏,毕业院校,北京电影学院
中山大学,知名人物,林尚安
曹璐,毕业院校,北京电影学院
北京电影学院,知名人物,许双
北京大学,知名人物,涂长望
香港中文大学,知名人物,冼杞然
南开大学,知名人物,何炳林
比尔·兰比尔,毕业院校,圣母大学
西安交通大学,知名人物,张晓鲁
北京工商大学,知名人物,潘硕健
国立西南联合大学,知名人物,龙驭球
陆定一,毕业院校,交通大学
中国科学院大学,知名人物,王选
香港大学,知名人物,刘允怡
李黎,毕业院校,北京舞蹈学院
李军,毕业院校,哈尔滨师范大学
湘潭大学,知名人物,张国骥
湘潭大学,知名人物,綦树利
西北工业大学,历任领导,陈小筑
同济大学,历任领导,方守恩
重庆大学,知名人物,郭晓敏
西安交通大学,历任领导,盛宣怀
张铉诚,毕业院校,首尔艺术大学
张旭,毕业院校,北京理工大学
