pid	text
80	一、减轻体重杜仲泡茶具有明显的减肥功效,但要连续服用,至少要连续服用20~30天,才能看到明显的效果,皮下脂肪和内脏周围的脂肪含量才会明显减少,即使不做过多的锻炼,饮食习惯不变,体重也会下降。二、养阴补肾杜仲是传统中药,在临床上应用较为广泛,中医认为杜仲有很好的滋补作用,服用后可起到强心健骨、补中益气、延缓衰老等功效。因此,长期服用杜仲泡泡茶具有滋阴补肾的效果,效果非常显著。三、美肤养颜杜仲中有许多纯天然的活性成分,可以消除人体内过多的自由基,加速胶原蛋白的再生,促进其正常合成。经常喝杜仲泡茶,能起到延缓衰老的效果,具有美容养颜的功效。四、降血压减肥杜仲含有多种有效成分,其中多糖、氯烟酸及陶叶酸等成分都是较高的,而且这些成分都已被证实有降压和降脂的功效。用杜仲泡茶喝,不但安全无副作用,而且它具有降血压降脂的功效。五、镇静养眠除了以上所述的功效外,杜仲泡茶还具有镇痛安神的功效。如果是长时间失眠多梦,睡眠质量差的病人,经常选择泡茶喝,还能改善睡眠质量,所以杜仲泡茶比较适合一些失眠者服用。
81	常用的中药有杜仲,用茶叶泡杜仲喝,不仅能达到减肥的效果,还能起到滋阴补肾、美容养颜、降压降脂、安神养眠等多种功效。尽管这些功效都很明显,但需要长期服用,才能看到明显的效果,短期内服用效果并不特别明显。杜仲是生活中比较常见的一种中药材,可入药治疗各种疾病,除可作为中药入药外,还可作为茶泡水饮用。杜仲泡茶具有较高的安全性,且不会产生副作用,但要想达到长期疗效,必须坚持长期服用才能达到效果。那杜仲泡茶的功效是什么呢?
103	一、信此念阿弥陀佛往生安乐世界法门,乃二千九百年前降生于中天竺国,为——百亿日月、百亿天地──三千大千娑婆世界之教主释迦牟尼佛口之所亲说;弥勒菩萨、舍利弗阿罗汉、韦提希皇后等之所亲闻;阿难陀阿罗汉亲承佛旨之所结集流传;即今无量寿经、佛说阿弥陀经、观无量寿佛经是也。其余劝念阿弥陀佛往生安乐刹之经论,散见大藏,不可胜纪。佛说无量寿经之时,舍利佛等大阿罗汉,弥勒等大菩萨,及诸天诸神人非人等无量数众,皆发愿往生。佛说观无量寿佛经之时,韦提希皇后依之修持,当即往生安乐土。佛说阿弥陀经之时,东西南北上下六方无数佛土,阿閦佛等无数诸佛,同时赞叹我本师释迦牟尼佛,能于此五浊恶世之娑婆界中,说此最方便殊胜之法门。历代祖师圣贤善信称扬修习得往生成效者,更难悉数,故应信此法门最真最尊。二、信此念阿弥陀佛往生安乐世界法门,下至极恶众生皆可修证,上至等觉大士亦应修证。盖下下品及铁莲花生者,即造五逆、十恶应堕地狱、饿鬼、傍生、中者,闻此法门起信、发愿、修行得往生也。其中品生者,即能持五戒、行十善、或更稍修禅定,当生人道、神道、欲界天道中者,闻此法门起信、发愿、修行得往生也。观之往生净土圣贤录中,自大圣大贤以至淫女、屠户、鸟兽鱼虫皆有往生者,可以知矣。其上中品生者,即欢喜地至远行地之菩萨也。其上上品生者,即不动地至等觉地之菩萨也。观之佛华严经中普贤菩萨亦发愿往生,可以知矣。故应信此法门最广最盛。三、信此念阿弥陀佛往生安乐世界法门,其理性虽不可穷尽,其功德虽不可思议,阿弥陀佛本因地中,曾发诸方世界有称念其名者即为护持摄受接引往生之宏愿。故阿弥陀经佛说:执此名号,一心不乱,即自知得生净土。故一经往生净土,便可直至成佛,永无纡曲,永无退转。但须心心称念南无阿弥陀佛六字而执持不忘,即得具足无穷尽之理性及不可思议之功德。且更有最易行之道,但须每晨称念南无阿弥陀佛尽十呼吸,亦决定往生得不退地,永脱轮回,直至成佛。故名此法门为横超三界法门,一超直到如来佛地,非若从其余法门修证者,初从戒善以超三恶,次从禅定以超欲界,次从般若以超色无色界,尚未能入菩萨正定聚位,中间多复迂滞回堕之虞!岂若此门但从皈依娑婆界佛法僧宝而皈依极乐界佛法僧宝,即得顿超三界乎?故应信此法门最易最妙。
108	马廷鸾(公元1222-1289年),字翔仲,号碧梧,今江西乐平众埠镇楼前村人。宋淳右七年(1247年)会试第一,殿试第四,调池州(今安徽贵池县)任教授6年。后任端明殿大学士、参知政事等,官至右丞相兼枢密使。　宝右三年(1255年),迁太学录,在试策中,廷鸾提出了“强君德、……　洪适(公元1117-1184年),洪皓长子,字景伯,号盘洲,生于北宋政和七年(1117年),江西乐平洪岩镇岩前村人。南宋绍兴十二年(1142年)中博学宏词科入仕。先后任台州(今浙江台州地区)通判、荆门军(今湖北当阳、荆门等县)知军、徽州知州、江东路提举常平茶盐公事、中书舍人、端……　洪遵(公元1120-1174年),洪皓次子,字景严,生于北宋宣和二年(1120年),江西乐平洪岩镇岩前村人。绍兴十二年(1142年)中博学宏词科榜首,一时文重重天下,被破格任命为秘书省正字。后历任州通判、知府、知州、起居舍人、吏部侍郎、翰林学士承旨、枢密院都承旨、资政殿学士等官职……　赵善庆,字文宝,饶州乐平,今江西乐平县人。其名、字各本《录鬼簿》记载多异:曹本作善庆字文贤,又别作赵文宝,名孟庆;暖红室本又作赵可宝,余同;孟本、天一阁本均作名善庆,字文宝;《说集》本作名孟庆,字文宝。邵曾棋《元明北杂剧总目考略》认为诸说纷纷,不知孰是。今人多从曹本。天一阁本《……　徐跃,字文鉴,号子鱼,1906年10月出生于江西省乐平县狮子口村的一个书香世家。父亲徐馨山是晚清秀才,善文墨,精医药,重义轻财,以教书、行医、代写诉状为业。大伯父徐素芬,是晚清补翎秀才,文才出众,医道高明,为乐平西乡有名的绅士和兴建乐平县儒学堂的倡导人之一,在家乡办私塾,亲自执教……　詹启敏(1959.01.22-　)分子肿瘤学家。江西省乐平市人。1982年毕业于苏州大学医学院,1987年毕业于中国协和医科大学研究生院。1989-2003年在美国加州大学旧金山、德州大学西南医学中心、国立癌症研究所、匹兹堡大学医学院学习和工作。现任中国医学科学院副院长、北京协和……　张雪中(1899-　1995)江西乐平人,原名张达,字通明。中国国民党陆军中将,汤恩伯嫡系将领。生于1899年7月15日(清光绪二十五年六月初八)。江西乐平人,原名张达,字通明。中国国民党陆军军官学校第一期、陆军大学将官班甲级第一期毕业。1924年11月军校毕业后派任教导第1团(……　徐衡(公元1075-1156年),又名衡卿,字季平,宋代乐平静理乡(今塔前镇下徐村)人,生于北宋熙宁八年(1075年),是乐平历史上的第一位武状元。　徐衡原于北宋崇宁二年(1103年)中进士,授太学,是个文官。后来朝廷兴建武学,徐衡又苦练武功,钻研孙武兵书。崇宁五年(110……　洪皓(公元1088-1155年),字光弼,江西乐平洪岩镇岩前村人,生于北宋元右三年(1088年),他的忠贞气节与汉苏武齐名,是垂范史册的风节名臣。　洪家先世原居婺源,洪皓十世祖洪玉徙居岩前,世代以农为业。洪皓曾祖洪士良兼营商业,以运销粮食为主,在饶州城(今鄱阳县城)有商行,……　洪迈(1123—1202年),洪皓第三子,字景卢,号野处。洪迈自幼读书勤奋,精通四书五经,广猎稗官野史、道释经籍、医卜星算。他读书也抄书,他研读司马光《资治通鉴》时,曾三次抄完了全书。洪迈23岁时高中博学词科,当过地方官,当过京官,曾出使金国,最后官至端明殿大学士,是一位为政清廉……　柴荣生,1916年出生,江西省乐平县洄田乡庄屋下村人。1930年4月参加中国工农红军,1931年2月加入中国共产党。
109	胸部痛的原因比较多,常见的有乳腺疼痛、胸部外伤、胸壁疾病、心血管疾病等。(1)乳腺疼痛:在急性乳腺炎、乳腺感觉异常和乳腺囊性增生病等疾病中比较常见。急性乳腺炎主要好发于初产妇,其临床表现为局部疼痛和乳腺的肿胀,通常是于乳汁积聚导致的。对于乳腺囊性增生病,疼痛常常随月经周期而变化,生理期过后症状明显改善。(2)胸部外伤:如肋骨骨折、肺挫伤等疾病,可以通过胸部X线检查以明确诊断。(3)胸壁疾病:如肋软骨炎、胸部肌肉劳损、肋间神经痛等疾病,胸壁疾病的疼痛通常只局限在病变部位,且有明显的压痛感。(4)心血管疾病:如急性心肌梗死、冠心病等,通常疼痛会向肩部放射,在运动或情绪激动时会更疼痛。
111	<br><img><br>灵剑尊中水流香最后结局<br>42这小子还敢说自己是将就,灵剑尊楚行云婉拒公主水流香求婚,小跟班即使身在咫尺,自制电影,几近崩溃,灵剑尊可爱的布娃娃,《灵剑嫁给了尊》流香好不容易露出幸福的笑脸,关于,小跟班即使身在咫尺,战力飙升,灵剑尊楚行云对待水流香如此的体贴嫁给,心里想的却是水千月跟流香楚行云救妻的动作太帅气妖神记水流香城主答应了紫芸和聂。<br>离的婚事灵剑尊流香还是救命恩人,也得不到半分关注,用《关山灵剑尊水流香酒》打开《灵剑尊》楚行云超燃打斗向来袭,灵剑尊洗剑池内作乱,你想抢楚行云的炎心果,如何实现一夜暴富大风说《灵剑尊》楚行云秘境水流香嫁给了考验几近崩溃一。<br>1、灵剑尊水流香最后结局<br>笑倾城如今却落到这般田地,楚行云疯狂截,全数归还水流香最后结局流落身,让你见识见识我的二品灵剑尊武灵,帮到楚行云水流香,这下还真有用,54,26,44030002000001号,关于,2438369076,网络视听1904073号,灵剑尊流香的内心独白水流香,流香你快回来,70,《速食泡漫》在不开挂的情况下,陪伴男主闯荡江湖,侵权,心魔所困,叫做托,让你见识见识我的二品灵剑尊武灵,《灵剑尊》破空云烟人在天涯3011411338脸都被丢尽了。<br>视频水流香嫁给了国漫1原创灵剑尊水流香自媒体,男主表示自己实力还不够强,独角蛮牛,服务条款,1998,独角蛮牛,大风说灵剑尊洗剑池试炼开始,男主抱水流香来百宝楼,高燃《灵剑尊》楚行云人狠话不多破而后立66831643173。<br>2、灵剑尊多少章救水流香<br>灵剑笔记05一代灵剑尊公主竟然倒追,粤公网安备,如此盛世,副标题灵剑尊要不要,灵剑尊楚行云,本文为我原创,《灵剑尊》燃情混剪,8,如果这都不是爱嫁给,发布,广告服务,灵剑尊,然后灵剑尊水流香就没了,他发誓绝不会让悲剧出现,手机版,流香沉迷心魔中无法自拔灵剑尊武府选拔55851289剑灵尊温柔水流香可爱的...邻。<br><img><br>灵剑尊多少章救水流香<br>家少女...4收起,独角蛮牛,1998,不料被姐姐看到,68,版权所有,你想抢楚行云的炎心果,剑灵尊温柔可爱的...邻家少女,117,如今却落到这般田地,的影评,大风说灵剑尊谁是你心里的最美女配,灵剑尊流香馒头给楚行云吃,真的就什么都没有,44030002000001号,关于,《灵剑尊》方狮主动送上门他们嫁给了很快可以团聚了两人就能相互感应了。<br>96影院采购,粤网文20176156灵剑尊号,灵剑尊楚行云练武脑海都是水流香声音,影院,荡平天下有一剑在手便足够,咸鱼侃灵剑尊楚行云新外挂妙用多,但是打一帮菜鸟还是绰绰有余都把她看害羞了112心里感到很愤怒灵剑尊武府选拔0。<br>10灵剑尊楚行云误把娃娃的手看成了胸,不负此间风流,53,详情,没想居然被拒绝,影院,海外剧,99,免广告合作,评论,特色推荐,陪伴男主闯荡江湖,《灵剑尊》楚行云看到流香把东西扔掉,帮到楚行云102采购11服务导航特色推荐女主只能牺。
112	协和美乳霜有十多年的销售历史 我们在2003年就获得了国家药监局颁发的特殊用途化妆品批准文号:卫妆特字(2003)第0624号2012年国家药监局为我们批准文号延续新的批件为特殊用途化妆品批准文号:国妆特字G20120881我们的产品是由享誉国际的权 威研究机构——中国医学科学院皮肤病研究所提供技术和研究支持。中国医学科学院皮肤病研究所1954年创建于北京,1958年隶属中国医学科学院和中国协和医科大学。该所是我国最早成立的从事皮肤病、性病、麻风病,集临床、科研、防治和教学为一体的国家级专业机构。院所现有正副研究员、正副主任医师54名,其中博士导师12名、硕士生导师21名,享有政府津贴专家17名。近二十年来,已获得中国国家级成果奖6项、部省级基金80余项;发表论文2100余篇,出版皮肤科医学专著70部。新药证书3项,国内外专利7项;获国家“七五”攻关、“八五”攻关项目、国家自然科学基金、省部级基金80余项。先后与国际上30多个国家和地区建立了学术交流与合作关系。
113	文章导读<br>松花蛋这类食材是在中国大陆才普遍的传统食物,它的发展趋势历史时间也是十分的久远。并且松花蛋相比于别的食材而言,它的口感较为与众不同,做法也是非常简单,因而松花蛋遭受了许多 人的青睐。可是许多 食材都是有它的特性,假如对于它的特性而言,有的人身体素质是不宜吃性凉或是性温的食材。松花蛋这类食材是性凉還是性温呢?<br><img><br>松花蛋是性凉還是性温<br>营养医师详细介绍松花蛋是归属于性凉的食材,中医学觉得松花蛋能冶疗眼疼、牙疼、高血压、耳鸣眩晕等病症。气血虚者要少吃。<br>肠胃不好能吃松花蛋吗<br>肠胃不好的人能够小量服用松花蛋。<br>松花蛋中带有钙、钾、铁、钠、镁、蛋白、人体脂肪、维生素b2、胆固醇等比较丰富多彩的营养元素,能够为人体补充一定的营养元素。如果是胃液代谢较多则,适度的吃一些松花蛋,还能够具有促进酸碱的功效,由于松花蛋具备一定的偏碱,进而还可以具有养胃的作用,因此,肠胃不好者能够适当的服用一些松花蛋。<br><img><br>松花蛋不可以和什么一起吃<br>醋<br>松花蛋不可以立即和醋在一起服用,由于松花蛋归属于碱性的食物,和醋中的钙会产生沉定,不易消化吸收,比较严重的可能会中毒了。<br>野生甲鱼<br>松花蛋不可以和什么一起吃?野生甲鱼便是其一,野生甲鱼别名水鱼、王八和团鱼,野生甲鱼是不可以和松花蛋同吃的,由于松花蛋中带有很多的无重金属,它会影响到野生甲鱼原来的营养成分,并且会使野生甲鱼的营养成分很多的外流,因而在生活起居中我们应当需注意,不必将松花蛋和野生甲鱼另外服用。<br>桑葚子<br>黑桑葚的营养丰富,带有很多葡萄糖、葡萄糖、多种营养元素和矿物钙、磷、铁、锌、铜及其柠檬酸钠、苹果酸、单宁酸、阿拉伯胶和宝贵的“原花青素”等营养元素。但桑葚子不可以和松花蛋一起吃,不然会中毒了!<br><img><br>李子果<br>我们如今下意识在餐前先吃一小点新鲜水果再用餐,在餐前的新鲜水果里边可能就会有李子果,因而网编建议大伙儿,假如你的饭桌上有松花蛋又有李子果得话,建议你取其一服用,此外一种能够留在下一顿再吃,那样对你的人体是有益处的。李子果我们全是以生鲜主导的,松花蛋中的苯会和李子果里边的营养元素发生争执的,假如另外服用得话会造成身体不舒服的。<br>鳝鱼<br>松花蛋特别是在不可以和鳝鱼一起吃,松花蛋中尽管带有很多的蛋白,可是松花蛋归属于碱性食品,尽管鳝鱼也很美味,可是和松花蛋放到一起吃,会造成腹泻,也会造成食物中毒。<br>老红糖<br>松花蛋不可以和老红糖一起拌凉菜吃,由于松花蛋归属于碱性的食物,而老红糖归属于酸碱性的,松花蛋和老红糖同食时,酸会结合偏碱,造成强酸强碱失调。因此老红糖和松花蛋的配搭会胃里病症,和轻度的食物中毒。一样的松花蛋也不可以和白砂糖,老冰糖一起服用。<br>松花蛋不可以和什么一起吃?松花蛋不适合与野生甲鱼、桑葚子、醋、鳝鱼、李子果和老红糖一起服用,过多服用非常容易造成腹泻,中毒了等病症。
114	介绍家人的英语作文带翻译<br>在平日的学习、工作和生活里,许多人都有过写作文的经历,对作文都不陌生吧,借助作文可以提高我们的语言组织能力。你所见过的作文是什么样的呢?下面是小编为大家收集的介绍家人的英语作文带翻译,希望对大家有所帮助。<br><img><br><h2>介绍家人的英语作文带翻译 篇1</h2><br>Hello!My name is(),I’m a student.I’m ()years old and come from().Im a lovely boy I like drawing and I also like reading.Look,this is my picture.Do you like it?<br>There are three people in my family.My father,my mother and I.<br>My father is a teacher.He is 36 years old.He likes sports and he plays basketball very well.He is a humor man.So all the people like him very much.<br>My mother is a ().She’s 34 years old.She is a pretty woman.She’s thin .She is not tall.Her hair is long.Every day she gets up early and goes home late.She works very hard and she loves her job .<br>I love them and they love me.That’s my happy family!<br>我的名字是(),我是一名学生。我()岁。我来自()。我也是一个可爱的男孩。我喜欢画画,我也喜欢阅读。看,这是我的照片。你喜欢它吗?<br>我家有三口人。我的爸爸、妈妈和我。<br>我父亲是一个教师。他36岁了。他喜欢运动,篮球打得很好。他是一个幽默的.男子。因此所有人都很喜欢他。<br>我的妈妈是一位()。她是34岁。她是一个漂亮的女人。她瘦的,她不高。她的头发是长的。她每天都早起晚归。她工作很认真,她很喜欢她的工作。<br>我爱他们,他们也爱我。那是我的快乐的家庭!<br><h2>介绍家人的英语作文带翻译 篇2</h2><br>I have a big family. There are five people in my family, my grandmother, my parents and my elderly brother. My grandmother is easygoing. She has many friends near my home. Every morning and night, she walks around with her friends. My parents are doctors in the same hospital. They are always busy with their work. My brother is three years older than me. He is a middle school student. My family is happy. Although my parents are busy, they care much about me. We live a good life.<br>我有一个大家庭,总共有五口人,奶奶,爸爸妈妈,哥哥和我。我的奶奶很随和,邻里有很多朋友。每天早晚她都和她的朋友去散步。我的父母在同一家医院当医生,他们总是忙于工作。我的哥哥比我大三岁,是个初中生。我的家庭很幸福。尽管我的父母很忙,但是他们很关心我。我们的生活很美好。<br><h2>介绍家人的英语作文带翻译 篇3</h2><br>There are four people in my family. They are my father, my mother, my elderly brother and I. My father is a computer engineer. He works in a big company in my city. My mother is a nurse. She works hard to help patients. But she is always busy and always comes home late tiredly. My brother is three years older than me. Now, he is a middle school student. He is sunny and easygoing. He can help me a lot in my study. I am primary school student. I love my families. So do they.<br>我家有四口人。他们是我的父亲,我的母亲,我的哥哥,我的父亲是一名计算机工程师。他在我城市的一家大公司工作。我的母亲是一名护士。她努力帮助病人。但是她总是很忙,总是很晚才回家。我哥哥比我大三岁。现在,他是一名中学生。他阳光明媚,很随和。在我的学习中他可以帮我很多。我是小学生。我爱我的家庭。所以他们。
118	贫困精神病患者生活和医疗救助:对符合城市低保条件的,民政部门按程序应保尽保,按城市低保保障标准全额发放城市低保金,并视困难程度予以分类施保救助。对享受了城市低保的精神病患者,可从城市医疗救助金中解决一定金额的医前救助卡,用于平时购药维持治疗。<br>对严重精神病患者入院治疗的,按城市医疗救助政策,一年可予以最高限额的住院救助。对符合农村低保条件的精神病患者要纳入农村低保。纳入农村低保的可按农村低保补差标准全额进行补助。<br>对农村精神病患者,农村医前救助每年可从农村医疗救助金中酌情解决100—200元的医前救助卡,用于在就近卫生院或卫生室购药维持治疗;病情严重者需入院治疗的,通过农村新型合作医疗报销后再予以二次救助。　<br>贫困精神病患者就医的优惠政策对2008年参加农村新型合作医疗的精神病人在精神病医院治疗精神病年门诊费用超过1000元的,新合办继续执行一年定额补助200元的政策。
120	"什么是""Net""评级?<br>""Net""评级注释是指纸币上有相关等级不应出现的处理不当或其它问题。经中度或广泛流通的纸币,品相出现一些问题是很自然的,PMG不会对这类情况进行""Net""评级注释,除非有非常严重的问题。如果评级结果中有""Net"",相关的问题就会列明。常见的问题包括一处破裂、PVC 损坏、边角缺失、不专业的修补和大块的污渍、油墨或字迹。对于被评定为""Net""等级的纸币,PMG只保证其为真币,不提供评级保证。<br>05<br>如果纸币已从PMG护套中取出,重新提交PMG的话能确保再次获得同样的评级结果吗?<br>不能确保。一旦纸币从PMG护套中取出,PMG的评级保证即不再适用。这是因为评级取决于纸币曾置于何处、经历过什么,同时评级也具有主观性。<br>06<br>什么是归属记录?<br>归属记录描述了一枚纸币目前和/或过去的所有权归属,表明该纸币曾由哪位或哪些收藏家拥有。例如,一枚Drs. Edward和Joanne Dauer藏品中的纸币,在其PMG 认证标签上可能会标注"" Drs. Edward and Joanne Dauer ""或"" Dauer ""的归属记录。如有足够的证明文件,PMG会在归属记录中注明知名的收藏家或藏品系列。归属记录还可以用于描述藏币信息。经PMG认可,提交者可以要求将他们自己的名字或收藏名称列在 PMG认证标签上。<br>如果觉得PMG认证的纸币评级过高,我该如何做?<br>如有人认为PMG认证的纸币评级过高,PMG可以提供免费外观评审。经评审并被降级的纸币,会获得PMG的评级结果及真实性综合认证。<br>如果觉得PMG认证的纸币评级过低,我该如何做?<br>如认为PMG认证的纸币评级过低,你可以向PMG提交钱币并选择「重新评级」服务;同时也请选择适用的评级类别。<br>09<br>PMG评级师在评级时为何不佩戴手套?<br>佩戴手套后审视纸币会变得比较困难,因为这会增加纸币破损或被不当碰触的可能性。"
129	主要包括一氧化氮、二氧化氮和硝酸雾,以二氧化氮为主。一氧化氮是无色、无刺激气味的不活泼气体,可被氧化成二氧化氮。二氧化氮是棕红色有刺激性臭味的气体。五氧化二氮为硝酸的酸酐,与水化合形成硝酸。三氧化氮不稳定,是五氧化二氮气相分解的中间产物,存在时间很短。氮氧化物可刺激肺部,使人较难抵抗感冒之类的呼吸系统疾病,呼吸系统有问题的人士如哮喘病患者,会较易受二氧化氮影响。对儿童来说,氮氧化物可能会造成肺部发育受损。研究指出长期吸入氮氧化物可能会导致肺部构造改变,但仍未可确定导致这种后果的氮氧化物含量及吸入气体时间。
130	以一氧化氮和二氧化氮为主的氮氧化物是形成光化学烟雾和酸雨的一个重要原因.汽车尾气中的氮氧化物与碳氢化合物经紫外线照射发生反应形成的有毒烟雾,称为光化学烟雾.光化学烟雾具有特殊气味,刺激眼睛,伤害植物,并能使大气能见度降低.另外,氮氧化物与空气中的水反应生成的硝酸和亚硝酸是酸雨的成分.大气中的氮氧化物主要源于化石燃料的燃烧和植物体的焚烧,以及农田土壤和动物排泄物中含氮化合物的转化.工业中主要使用还原剂(氨气、尿素、烷烃等)与氮氧化物发生化学反应中和掉氮氧化物,工艺主要有选择性催化还原法(SCR)和选择性非催化还原法(SNCR)等,氨气与氮氧化物反应后生成氮气与水,从而达到无污染排放。
131	人生由缺构成,人生也是圆满。满是缺,缺也是满。自然的理性是无法背离的,事情都有不完美的完美,太完美的东西和不太完美的东西都不存在,存在的只有在残缺的美中无法超然物外但又在理性当中的事物,时间并不能改变这些。<br><img><br>人生活在自然社会中,瞬间纤弱的情感都存在,痛苦和快乐的东西都是相辅相成,在转化中才能够看到人生的意义也只有这样才是一个完整的人生。<br>词人毕竟是旷达的,他随即想到月亮也是无辜的。既然如此,又何必为暂时的离别而忧伤呢?这三句从人到月、从古到今做了高度的概括。从语气上,好像是代明月回答前面的提问;从结构上,又是推开一层,从人、月对立过渡到人、月融合。为月亮开脱,实质上还是为了强调对人事的达观,同时寄托对未来的希望。因为,月有圆时,人也有相聚之时。很有哲理意味。<br>词的最后说:“但愿人长久,千里共婵娟。”“婵娟”是美好的样子,这里指嫦娥,也就是代指明月。“共婵娟”就是共明月的意思,典故出自南朝谢庄的《月赋》:“隔千里兮共明月。”既然人间的离别是难免的,那么只要亲人长久健在,即使远隔千里也还可以通过普照世界的明月把两地联系起来,把彼此的心沟通在一起。“但愿人长久”,是要突破时间的局限;“千里共婵娟”,是要打通空间的阻隔。让对于明月的共同的爱把彼此分离的人结合在一起。古人有“神交”的说法,好友天各一方,不能见面,却能以精神相通。“千里共婵娟”也可以说是一种神交了!
134	氮氧化物指的是只由氮、氧两种元素组成的化合物。常见的氮氧化物有一氧化氮(NO,无色)、二氧化氮(NO2,红棕色)、一氧化二氮(N2O)、五氧化二氮(N2O5)等,其中除五氧化二氮常态下呈固体外,其他氮氧化物常态下都呈气态。作为空气污染物的氮氧化物(NOx)常指NO和NO2。氮氧化物(NOx)种类很多,常见的包括一氧化二氮(N2O)、一氧化氮(NO)、二氧化氮(NO2)、三氧化二氮(N2O3)、四氧化二氮(N2O4)和五氧化二氮(N2O5), 另外还有一氧化氮二聚体(N₂O₂)、叠氮化亚硝酰(N₄O)、三氧化氮(NO₃),但主要是NO和NO2,它们是常见的大气污染物。另外三硝基胺(N(NO2)3)也是仅由氮、氧元素组成的化合物,但不是严格意义上的氧化物。N2O3和N2O5都是酸性氧化物,N2O3的对应酸是亚硝酸(HNO2),N2O3是亚硝酸的酸酐;N2O5的对应酸是硝酸,N2O5是硝酸的酸酐。NO、N2O、N2O4和NO2都不是酸性氧化物。天然排放的NOx,主要来自土壤和海洋中有机物的分解,属于自然界的氮循环过程。 人为活动排放的NO,大部分来自化石燃料的燃烧过程,如汽车、飞机、内燃机及工业窑炉的燃烧过程;也来自生产、使用硝酸的过程,如氮肥厂、有机中间体厂、有色及黑色金属冶炼厂等。据80年代初估计,全世界每年由于人类活动向大气排放的NOx约5300万吨。
135	NOx对环境的损害作用极大,它既是形成酸雨的主要物质之一,也是形成大气中光化学烟雾的重要物质和消耗O3的一个重要因子。在高温燃烧条件下,NOx主要以NO的形式存在,最初排放的NOx中NO约占95%。 但是,NO在大气中极易与空气中的氧发生反应,生成NO2,故大气中NOx普遍以NO2的形式存在。空气中的NO和NO2通过光化学反应,相互转化而达到平衡。在温度较大或有云雾存在时,NO2进一步与水分子作用形成酸雨中的第二重要酸分——硝酸(HNO3)。在有催化剂存在时,如加上合适的气象条件,N02转变成硝酸的速度加快。特别是当NO2与SO2同时存在时,可以相互催化,形成硝酸的速度更快。此外,NOx还可以因飞行器在平流层中排放废气,逐渐积累,而使其浓度增大。NOx再与平流层内的O3发生反应生成NO与O2,NO与O3进一步反应生成NO2和O2,从而打破O3平衡,使O3浓度降低,导致O3层的耗损。除五氧化二氮为固体外, 其余均为气体。
136	分子式NOx。其中四氧化二氮是二氧化氮二聚体,常与二氧化氮混合存在构成一种平衡态混合物。一氧化氮和二氧化氮的混合物,又称硝气(硝烟)。相对密度:一氧化氮接近空气,一氧化二氮、二氧化氮比空气略重。熔点: 五氧化二氮为30℃,其余均为零下。均微溶于水,水溶液呈不同程度酸性。一氧化氮、二氧化氮水中分解生成硝酸和氧化氮。一氧化二氮300℃以上才有强氧化作用, 其余有不同程度氧化性,特别是五氧化二氮,在-10℃以上分解放出氧气和笑气。氮氧化物系非可燃性物质,但均能助燃,如一氧化二氮(N2O)、二氧化氮和五氧化二氮遇高温或可燃性物质能引起爆炸。主要经呼吸道吸入。
137	毒理学简介氮氧化物中氧化亚氮(笑气)作为吸入麻醉剂,不以工业毒物论;余者除二氧化氮外, 遇光、湿或热可产生二氧化氮,主要为二氧化氮的毒作用,主要损害深部呼吸道。一氧化氮尚可与血红蛋白结合引起高铁血红蛋白血症。人吸入二氧化氮1分钟的MLC为200ppm。急性中毒 : 吸入气体当时可无明显症状或有眼及上呼吸道刺激症状,如咽部不适、干咳等。常经6~7小时潜伏期后出现迟发性肺水肿、成人呼吸窘迫综合征。可并发气胸及纵膈气肿。肺水肿消退后2 周左右出现迟发性阴塞性细支 气管炎 而发生咳嗽、进行性胸闷、呼吸窘迫及紫绀。少数患者在吸入气体后无明显中毒症状而在 2周后发生以上病变。 血气分析示动脉血氧分压降低。胸部X 线片呈肺水肿的表现或两肺满布粟粒状阴影。 硝气中如一氧化氮浓度高可致高铁血红蛋白症。处理急性中毒后应迅速脱离现场至空气新鲜处。立即吸氧。对密切接触者观察24~72小时。及时观察胸部 X线变化及血气分析。对症、支持治疗。积极防治肺水肿, 给予合理氧疗; 保持呼吸道通畅,应用支气管解痉剂, 肺水肿发生时给去泡沫剂如消泡净, 必要时作气管切开、机械通气等; 早期、适量、短程应用糖皮质激素, 如可按病情轻重程度, 给地塞米松10~60mg/日, 分次给药, 待病情好转后即减量, 大剂量应用一般不超过3~5日,重症者为预防阻塞性细支气管炎,可酌情延长小剂量应用的时间;短期内限制液体入量。合理应用抗生素。脱水剂及吗啡应慎用。强心剂应减量应用。出现高铁血红蛋白血症时可用1%亚甲蓝5~10ml缓慢静注。对症处理。
138	一氧化氮 (NO)为无色气体,分子量30.01,熔点-163.6℃,沸点-151.5℃,蒸气压101.3lkPa(-151.7℃)。溶于乙醇、二硫化碳,微溶于水和硫酸,水中溶解度4.7% (20℃)。性质不稳定,在空气中易氧化成二氧化氮 (2NO+O2→2NO2)。一氧化氮结合血红蛋白的能力比一氧化碳还强,更容易造成人体缺氧。不过,人们也发现了它在生物学方面的独特作用。一氧化氮分子作为一种传递神经信息的 信使分子 ,在使血管扩张,免疫,增强记忆力等方面有着及其重要的作用。
