name,type,mainDepartment,county,province,religion,registrationTime,registrationAuthority,registrationCertificateNumber,category,unifiedSocialCreditCode,address,city,phoneNumber,manager,postalCode,id,website
慈溪市基督教三自爱国运动委员会,协会,ZJ-RELIGIOUSVENUE-GOV-60,慈溪市,浙江省,基督教,1994/5/3,ZJ-RELIGIOUSGROUP-GOV-43,330282—084254,县团体,51330282MJ9073627C,浙江省宁波市慈溪市宗汉街道兴园路29号,宁波市,0574-63810839,ZJ-RELIGIOUSGROUP-PEOPLE-287,315300,慈溪市基督教三自爱国运动委员会,
婺城区佛教协会,协会,ZJ-RELIGIOUSVENUE-GOV-86,婺城区,浙江省,佛教,2011/5/27,ZJ-RELIGIOUSGROUP-GOV-36,浙金婺社证字第080089号,县团体,51330702579333348T,浙江省金华市婺城区汤溪镇九峰寺,金华市,0579-82658301,ZJ-RELIGIOUSGROUP-PEOPLE-265,321071,婺城区佛教协会,
江山市天主教爱国会,协会,ZJ-RELIGIOUSVENUE-GOV-95,江山市,浙江省,天主教,1990/1/1,ZJ-RELIGIOUSGROUP-GOV-23,江社证字第4015号,县团体,51330881084271712N,浙江省衢州市江山市环城西路192号,衢州市,13867009536,ZJ-RELIGIOUSGROUP-PEOPLE-36,324100,江山市天主教爱国会,
金东区基督教三自爱国运动委员会,协会,ZJ-RELIGIOUSVENUE-GOV-47,金东区,浙江省,基督教,2001/4/1,ZJ-RELIGIOUSGROUP-GOV-45,浙金东民社证字第210006号,县团体,513000000000000000,浙江省金华市金东区傅村镇,金华市,13757962563,ZJ-RELIGIOUSGROUP-PEOPLE-313,321015,金东区基督教三自爱国运动委员会,
金东区佛教协会,协会,ZJ-RELIGIOUSVENUE-GOV-47,金东区,浙江省,佛教,2002/12/1,ZJ-RELIGIOUSGROUP-GOV-45,浙金东民社证字第210031号,县团体,513000000000000000,浙江省金华市金东区孝顺镇中柔村龙盘寺,金华市,13819983666,ZJ-RELIGIOUSGROUP-PEOPLE-300,321015,金东区佛教协会,
海盐县佛教协会,协会,ZJ-RELIGIOUSVENUE-GOV-80,海盐县,浙江省,佛教,2010/1/7,ZJ-RELIGIOUSGROUP-GOV-12,浙盐社证字210022号,县团体,51330424MJ9388979N,浙江省嘉兴市海盐县武原街道新天地广场内,嘉兴市,0573-86020433,ZJ-RELIGIOUSGROUP-PEOPLE-14,314300,海盐县佛教协会,
杭州市富阳区基督教协会,协会,ZJ-RELIGIOUSVENUE-GOV-49,富阳区,浙江省,基督教,2016/3/23,ZJ-RELIGIOUSGROUP-GOV-88,0119号,县团体,513000000000000000,浙江省杭州市富阳区鹳山路12号,杭州市,0571-63324146,ZJ-RELIGIOUSGROUP-PEOPLE-168,311400,杭州市富阳区基督教协会,
萧山区天主教爱国会,协会,ZJ-RELIGIOUSVENUE-GOV-12,萧山区,浙江省,天主教,2016/11/16,ZJ-RELIGIOUSGROUP-GOV-67,,县团体,51330109502100407K,浙江省杭州市萧山区城厢街道萧然南路387号,杭州市,0571-82228909,ZJ-RELIGIOUSGROUP-PEOPLE-240,311201,萧山区天主教爱国会,
衢江区基督教协会,协会,ZJ-RELIGIOUSVENUE-GOV-61,衢江区,浙江省,基督教,1900/1/1,,,县团体,51330803MJ97267049,浙江省衢州市衢江开发区仙岩路沈家教堂,衢州市,13362019201,ZJ-RELIGIOUSGROUP-PEOPLE-79,324000,衢江区基督教协会,
东阳市道教协会,协会,ZJ-RELIGIOUSVENUE-GOV-70,东阳市,浙江省,道教,2017/9/21,ZJ-RELIGIOUSGROUP-GOV-87,,县团体,51330783MJ9679047F,浙江省东阳市千祥镇三联王门村东900米（东阳市太清观内）,金华市,15905897700,ZJ-RELIGIOUSGROUP-PEOPLE-127,322124,东阳市道教协会,
淳安县基督教协会,协会,ZJ-RELIGIOUSVENUE-GOV-35,淳安县,浙江省,基督教,1999/12/1,ZJ-RELIGIOUSGROUP-GOV-26,社政字第143号,县团体,51330127502090405J,浙江省杭州市淳安县千岛湖镇排岭北路15号,杭州市,0571-65063435,ZJ-RELIGIOUSGROUP-PEOPLE-282,311700,淳安县基督教协会,
浙江省佛教协会,协会,,,,,,,,,,,,,,,浙江省佛教协会,
宁波市海曙区佛教协会,协会,,海曙区,浙江省,佛教,2005/5/18,ZJ-RELIGIOUSGROUP-GOV-97,社证字第255号,县团体,51330203MJ896097XW,浙江省宁波市海曙区新典路528弄18号,宁波市,0574-87139033,ZJ-RELIGIOUSGROUP-PEOPLE-335,315000,宁波市海曙区佛教协会,
余杭区基督教三自爱国运动委员会,协会,ZJ-RELIGIOUSVENUE-GOV-15,余杭区,浙江省,基督教,1999/4/12,ZJ-RELIGIOUSGROUP-GOV-81,312,县团体,513000000000000000,浙江省杭州市余杭区南苑金座新远金座3号楼1412室,杭州市,0571-86224214,ZJ-RELIGIOUSGROUP-PEOPLE-113,311100,余杭区基督教三自爱国运动委员会,
仙居县道教协会,协会,ZJ-RELIGIOUSVENUE-GOV-59,仙居县,浙江省,道教,2015/4/27,ZJ-RELIGIOUSGROUP-GOV-9,浙仙社证字第62102号,县团体,513000000000000000,台州市仙居县下各镇羊棚头村,台州市,15858639077,ZJ-RELIGIOUSGROUP-PEOPLE-180,317321,仙居县道教协会,
湖州市佛教协会,协会,ZJ-RELIGIOUSVENUE-GOV-73,330501,浙江省,佛教,2000/2/1,ZJ-RELIGIOUSGROUP-GOV-47,浙湖社字第150号,市团体,51330500502274976C,浙江省湖州市吴兴区南华路东湖家园2幢3单元105室,湖州市,0572-2032694,ZJ-RELIGIOUSGROUP-PEOPLE-56,313000,湖州市佛教协会,
江山市佛教协会,协会,ZJ-RELIGIOUSVENUE-GOV-95,江山市,浙江省,佛教,2003/12/1,ZJ-RELIGIOUSGROUP-GOV-23,江社证字第4060号,县团体,51330881079703998Y,浙江省衢州市江山市云宾路18号,衢州市,13905701933,ZJ-RELIGIOUSGROUP-PEOPLE-100,324100,江山市佛教协会,
吴兴区道教协会,协会,ZJ-RELIGIOUSVENUE-GOV-32,吴兴区,浙江省,道教,2004/5/1,ZJ-RELIGIOUSGROUP-GOV-16,社证字第0005,县团体,51330502761346196L,浙江省湖州市吴兴区汇豪名都502室,湖州市,0572-2374339,ZJ-RELIGIOUSGROUP-PEOPLE-18,313000,吴兴区道教协会,
玉环市基督教三自爱国运动委员会,协会,ZJ-RELIGIOUSVENUE-GOV-101,玉环市,浙江省,基督教,1987/9/19,ZJ-RELIGIOUSGROUP-GOV-1,玉社证字第92096号,县团体,51331021502666814B,浙江省台州市玉环市玉城街道玉潭路29号,台州市,57680722000,ZJ-RELIGIOUSGROUP-PEOPLE-21,317600,玉环市基督教三自爱国运动委员会,
海宁市基督教协会,协会,ZJ-RELIGIOUSVENUE-GOV-88,海宁市,浙江省,基督教,2000/4/1,ZJ-RELIGIOUSGROUP-GOV-95,浙海社证字第210007号,县团体,51330481A960293015,浙江省嘉兴市海宁市海昌南路119号,嘉兴市,0573-87041214,ZJ-RELIGIOUSGROUP-PEOPLE-350,314400,海宁市基督教协会,
诸暨市佛教协会,协会,ZJ-RELIGIOUSVENUE-GOV-54,诸暨市,浙江省,佛教,1991/12/30,ZJ-RELIGIOUSGROUP-GOV-34,诸30044,县团体,5133068178567299XT,浙江省绍兴市诸暨市浣纱北路54幢101室,绍兴市,0575-88106735,ZJ-RELIGIOUSGROUP-PEOPLE-40,311800,诸暨市佛教协会,
永康市基督教协会,协会,ZJ-RELIGIOUSVENUE-GOV-45,永康市,浙江省,基督教,1987/11/27,ZJ-RELIGIOUSGROUP-GOV-29,永社证字第044号,县团体,51330784A97239503L,浙江省金华市永康市丽州北路275号基督教堂,金华市,0579-87165224,ZJ-RELIGIOUSGROUP-PEOPLE-212,321300,永康市基督教协会,
江东区佛教协会,协会,ZJ-RELIGIOUSVENUE-GOV-142,鄞州区,浙江省,佛教,2005/8/1,ZJ-RELIGIOUSGROUP-GOV-107,社证字第800075,县团体,51330204MJ8970385P,浙江省宁波市江东区百丈路183号,宁波市,0574-87755368,ZJ-RELIGIOUSGROUP-PEOPLE-219,315040,江东区佛教协会,
文成县佛教协会,协会,ZJ-RELIGIOUSVENUE-GOV-56,文成县,浙江省,佛教,2014/12/18,ZJ-RELIGIOUSGROUP-GOV-20,社证字第0528480号,县团体,51330328321694189J,浙江省文成县大峃镇七甲净慧寺,温州市,13868409524,ZJ-RELIGIOUSGROUP-PEOPLE-153,325300,文成县佛教协会,
临安区佛教协会,协会,ZJ-RELIGIOUSVENUE-GOV-50,330185,浙江省,佛教,1997/1/18,ZJ-RELIGIOUSGROUP-GOV-103,社政字第0261号,县团体,51330185785311641G,浙江省杭州市临安区衣锦街太庙山31幢天松楼一楼,杭州市,0571-63721780,ZJ-RELIGIOUSGROUP-PEOPLE-199,311300,临安区佛教协会,
莲都区佛教协会,协会,ZJ-RELIGIOUSVENUE-GOV-100,莲都区,浙江省,佛教,1987/1/1,ZJ-RELIGIOUSGROUP-GOV-83,丽莲社证字第0021号,县团体,51331102087392632R,浙江省丽水市莲都区岩泉街道灵山寺,丽水市,13506825262,ZJ-RELIGIOUSGROUP-PEOPLE-116,323000,莲都区佛教协会,
天台山道教协会,协会,ZJ-RELIGIOUSVENUE-GOV-39,天台县,浙江省,道教,1996/1/31,ZJ-RELIGIOUSGROUP-GOV-79,72077,县团体,51331023062044164U,浙江省台州市天台县赤城街道峧头粮库,台州市,13736630585,ZJ-RELIGIOUSGROUP-PEOPLE-243,317200,天台山道教协会,
龙港市道教协会,协会,ZJ-RELIGIOUSVENUE-GOV-42,龙港市,浙江省,道教,2020/7/7,ZJ-RELIGIOUSGROUP-GOV-84,51330383MJ9134768P,县团体,51330383MJ9134768P,浙江省龙港市利民社区陈宅112号元光道观,温州市,0577-68611808,ZJ-RELIGIOUSGROUP-PEOPLE-330,325802,龙港市道教协会,
天主教杭州教区,协会,ZJ-RELIGIOUSVENUE-GOV-108,330101,浙江省,天主教,1900/1/1,ZJ-RELIGIOUSGROUP-GOV-35,,市团体,51330000501870821L,,杭州市,,ZJ-RELIGIOUSGROUP-PEOPLE-216,,天主教杭州教区,
金华市佛教协会,协会,ZJ-RELIGIOUSVENUE-GOV-112,330701,浙江省,佛教,2003/8/12,ZJ-RELIGIOUSGROUP-GOV-52,浙金市社证字第200285号,市团体,513000000000000000,浙江省金华市婺城区罗店镇智者寺内,金华市,0579-82146103,ZJ-RELIGIOUSGROUP-PEOPLE-293,321000,金华市佛教协会,
江山市基督教三自爱国运动委员会,协会,ZJ-RELIGIOUSVENUE-GOV-95,江山市,浙江省,基督教,1985/1/1,ZJ-RELIGIOUSGROUP-GOV-23,江社证字第4014号,县团体,51330881A98141276F,浙江省衢州市江山市环城西路61号,衢州市,13646700669,ZJ-RELIGIOUSGROUP-PEOPLE-235,324100,江山市基督教三自爱国运动委员会,
鄞州区基督教三自爱国运动委员会,协会,ZJ-RELIGIOUSVENUE-GOV-1,鄞州区,浙江省,基督教,1982/10/6,ZJ-RELIGIOUSGROUP-GOV-55,110049,县团体,51330212MJ90090273,浙江省宁波市鄞州区康泰中路215号南裕二村2幢101-102室,宁波市,0574-88112144,ZJ-RELIGIOUSGROUP-PEOPLE-68,315194,鄞州区基督教三自爱国运动委员会,
金华市天主教爱国会,协会,ZJ-RELIGIOUSVENUE-GOV-112,330701,浙江省,天主教,1999/11/20,ZJ-RELIGIOUSGROUP-GOV-52,浙金市200136,市团体,51330700MJ9568662B,浙江省金华市将军路石狮子头8号,金华市,18957923815,ZJ-RELIGIOUSGROUP-PEOPLE-62,321000,金华市天主教爱国会,
富阳市天主教爱国会,协会,ZJ-RELIGIOUSVENUE-GOV-49,富阳区,浙江省,天主教,1999/1/29,ZJ-RELIGIOUSGROUP-GOV-109,0116号,县团体,51330111583211829N,浙江省杭州市富阳市富春街道东山路30号,杭州市,0571-63371536,ZJ-RELIGIOUSGROUP-PEOPLE-254,311400,富阳市天主教爱国会,
黄岩区道教协会,协会,ZJ-RELIGIOUSVENUE-GOV-31,黄岩区,浙江省,道教,1987/3/24,ZJ-RELIGIOUSGROUP-GOV-39,42049,县团体,5133100350262805XW,浙江省台州市黄岩区西江华庭7幢301室,台州市,0576-84023589,ZJ-RELIGIOUSGROUP-PEOPLE-169,318020,黄岩区道教协会,
仙居县佛教协会,协会,ZJ-RELIGIOUSVENUE-GOV-59,仙居县,浙江省,佛教,1994/3/1,ZJ-RELIGIOUSGROUP-GOV-9,浙仙社证字第62035号,县团体,51331024502643153T,浙江省台州市仙居县城关解放街48号,台州市,0576-87783092,ZJ-RELIGIOUSGROUP-PEOPLE-10,317300,仙居县佛教协会,
嵊泗县佛教协会,协会,ZJ-RELIGIOUSVENUE-GOV-102,嵊泗县,浙江省,佛教,1997/7/1,ZJ-RELIGIOUSGROUP-GOV-82,浙嵊民社证字第030号,县团体,51330922741034507N,浙江省舟山市嵊泗县菜园镇东海路61号三楼,舟山市,0580-5084141,ZJ-RELIGIOUSGROUP-PEOPLE-142,202450,嵊泗县佛教协会,
萧山区道教协会,协会,ZJ-RELIGIOUSVENUE-GOV-12,萧山区,浙江省,道教,2006/7/25,ZJ-RELIGIOUSGROUP-GOV-67,社证字第565号,县团体,513000000000000000,浙江省杭州市萧山区萧然南路387号,杭州市,0571-83715127,ZJ-RELIGIOUSGROUP-PEOPLE-95,311201,萧山区道教协会,
嘉兴市基督教三自爱国运动委员会,协会,ZJ-RELIGIOUSVENUE-GOV-125,330401,浙江省,基督教,1987/8/1,ZJ-RELIGIOUSGROUP-GOV-63,浙嘉社证第210027号,市团体,51330400502205997D,浙江省嘉兴市翠柳路63号,嘉兴市,13819411193,ZJ-RELIGIOUSGROUP-PEOPLE-253,314000,嘉兴市基督教三自爱国运动委员会,
海盐县基督教三自爱国运动委员会,协会,ZJ-RELIGIOUSVENUE-GOV-80,海盐县,浙江省,基督教,1900/1/1,ZJ-RELIGIOUSGROUP-GOV-12,,县团体,51330424MJ938947XF,浙江省嘉兴市海盐县武原街道新天地广场,嘉兴市,,ZJ-RELIGIOUSGROUP-PEOPLE-84,,海盐县基督教三自爱国运动委员会,
玉环市道教协会,协会,ZJ-RELIGIOUSVENUE-GOV-101,玉环市,浙江省,道教,1987/7/17,ZJ-RELIGIOUSGROUP-GOV-1,玉社证字第92032号,县团体,51331021502666689N,浙江省台州市玉环市玉城街道长兴路149号（三楼）,台州市,57687219212,ZJ-RELIGIOUSGROUP-PEOPLE-1,317600,玉环市道教协会,
定海区天主教爱国会,协会,ZJ-RELIGIOUSVENUE-GOV-81,定海区,浙江省,天主教,1989/1/9,ZJ-RELIGIOUSGROUP-GOV-101,浙社证020,县团体,513000000000000000,浙江省舟山市定海区气象台路131号,舟山市,0580-2550247,ZJ-RELIGIOUSGROUP-PEOPLE-298,316000,定海区天主教爱国会,
苍南县佛教协会,协会,ZJ-RELIGIOUSVENUE-GOV-34,苍南县,浙江省,佛教,1985/5/1,ZJ-RELIGIOUSGROUP-GOV-11,浙温苍社证字052号,县团体,5133032750217238XB,浙江省温州市苍南县灵溪镇河滨西路113-16号（祥云禅寺内）,温州市,0577-68709183,ZJ-RELIGIOUSGROUP-PEOPLE-143,325800,苍南县佛教协会,www.wzcnfj.cn
龙泉市天主教爱国会（未登记）,协会,ZJ-RELIGIOUSVENUE-GOV-58,龙泉市,浙江省,天主教,2016/12/30,ZJ-RELIGIOUSGROUP-GOV-62,,县团体,,浙江省丽水市龙泉市中山西路74号,丽水市,13757832666,ZJ-RELIGIOUSGROUP-PEOPLE-323,323700,龙泉市天主教爱国会（未登记）,
岱山县天主教爱国会,协会,ZJ-RELIGIOUSVENUE-GOV-29,岱山县,浙江省,天主教,2000/7/1,ZJ-RELIGIOUSGROUP-GOV-60,浙岱社证字第78号,县团体,51330921502509851W,浙江省舟山市岱山县高亭镇文明路176号,舟山市,18768004455,ZJ-RELIGIOUSGROUP-PEOPLE-136,316200,岱山县天主教爱国会,
永嘉县基督教协会,协会,ZJ-RELIGIOUSVENUE-GOV-16,永嘉县,浙江省,基督教,1986/8/1,ZJ-RELIGIOUSGROUP-GOV-59,永社证字第（A）08号,县团体,51330324502153154U,浙江省温州市永嘉县上塘镇码道中街投招标幢202室,温州市,0577-67229307,ZJ-RELIGIOUSGROUP-PEOPLE-271,325100,永嘉县基督教协会,
绍兴市越城区基督教三自爱国运动委员会,协会,ZJ-RELIGIOUSVENUE-GOV-52,越城区,浙江省,基督教,2019/12/18,ZJ-RELIGIOUSGROUP-GOV-49,51330602MJ9499273C,县团体,51330602MJ9499273C,绍兴市越城区东浦街道环北路3-1东浦基督教堂302室,绍兴市,13858444462,ZJ-RELIGIOUSGROUP-PEOPLE-341,312000,绍兴市越城区基督教三自爱国运动委员会,
东钱湖旅游度假区基督教三自爱国运动委员会,协会,ZJ-RELIGIOUSVENUE-GOV-154,330256,浙江省,基督教,2007/10/1,ZJ-RELIGIOUSGROUP-GOV-113,甬东旅经发（2007）54号,县团体,51330200MJ89479949,浙江省宁波市东钱湖度假区东钱湖镇莫枝教堂,宁波市,13081992105,ZJ-RELIGIOUSGROUP-PEOPLE-348,315121,东钱湖旅游度假区基督教三自爱国运动委员会,
天台县基督教三自爱国运动委员会,协会,ZJ-RELIGIOUSVENUE-GOV-39,天台县,浙江省,基督教,1980/1/1,ZJ-RELIGIOUSGROUP-GOV-79,720708,县团体,51331023064186502J,浙江省台州市天台县四方塘路2号,台州市,13586224183/13566695560,ZJ-RELIGIOUSGROUP-PEOPLE-285,317200,天台县基督教三自爱国运动委员会,
青田县基督教三自爱国运动委员会,协会,ZJ-RELIGIOUSVENUE-GOV-67,青田县,浙江省,基督教,2002/3/1,ZJ-RELIGIOUSGROUP-GOV-71,浙青社证字第2002002号,县团体,51331121MJ99285844,浙江省丽水市青田县鹤城镇后街63号,丽水市,0578-6821311,ZJ-RELIGIOUSGROUP-PEOPLE-268,323900,青田县基督教三自爱国运动委员会,
苍南县基督教三自爱国运动委员会,协会,ZJ-RELIGIOUSVENUE-GOV-34,苍南县,浙江省,基督教,1985/11/1,ZJ-RELIGIOUSGROUP-GOV-11,浙温苍社证字055号,县团体,51330327A95384731F,浙江省温州市苍南县灵溪镇塘北路永生堂,温州市,13706871019,ZJ-RELIGIOUSGROUP-PEOPLE-310,325800,苍南县基督教三自爱国运动委员会,
桐庐县基督教三自爱国运动委员会,协会,ZJ-RELIGIOUSVENUE-GOV-77,桐庐县,浙江省,基督教,1999/1/1,ZJ-RELIGIOUSGROUP-GOV-13,浙桐社登字第0150号,县团体,5133012267396690XC,浙江省杭州市桐庐县城南街道大奇山路397号,杭州市,0571-64212150,ZJ-RELIGIOUSGROUP-PEOPLE-15,311501,桐庐县基督教三自爱国运动委员会,
桐庐县天主教爱国会,协会,ZJ-RELIGIOUSVENUE-GOV-77,桐庐县,浙江省,天主教,1999/1/1,ZJ-RELIGIOUSGROUP-GOV-13,浙桐社登字第0248号,县团体,51330122694596039M,浙江省杭州市桐庐县桐君街道洋塘新村3幢401室,杭州市,15968133868,ZJ-RELIGIOUSGROUP-PEOPLE-316,311500,桐庐县天主教爱国会,
柯城区基督教协会（未登记）,协会,ZJ-RELIGIOUSVENUE-GOV-75,柯城区,浙江省,基督教,2016/12/30,ZJ-RELIGIOUSGROUP-GOV-2,,县团体,,浙江省衢州市柯城区新河沿171-179号二楼,衢州市,0570-8633267,ZJ-RELIGIOUSGROUP-PEOPLE-267,324000,柯城区基督教协会（未登记）,
天台县基督教协会,协会,ZJ-RELIGIOUSVENUE-GOV-39,天台县,浙江省,基督教,1987/1/1,ZJ-RELIGIOUSGROUP-GOV-79,72078,县团体,51331023064186502J,浙江省台州市天台县赤城街道四方塘路2号,台州市,13586224183/13566695560,ZJ-RELIGIOUSGROUP-PEOPLE-108,317200,天台县基督教协会,
洞头区基督教三自爱国运动委员会,协会,ZJ-RELIGIOUSVENUE-GOV-36,洞头区,浙江省,基督教,2000/7/4,ZJ-RELIGIOUSGROUP-GOV-10,浙洞民社证字第68号,县团体,51330305502137584J,浙江省温州市洞头区北岙街道三盘大岙村基督教两会办公楼,温州市,0577-63438593,ZJ-RELIGIOUSGROUP-PEOPLE-259,325700,洞头区基督教三自爱国运动委员会,
金东区基督教协会,协会,ZJ-RELIGIOUSVENUE-GOV-47,金东区,浙江省,基督教,2001/4/1,ZJ-RELIGIOUSGROUP-GOV-45,浙金东民社证字第210007号,县团体,51330703MJ96022186,浙江省金华市金东区孝顺镇,金华市,13750985830,ZJ-RELIGIOUSGROUP-PEOPLE-149,321015,金东区基督教协会,
路桥区基督教三自爱国运动委员会,协会,ZJ-RELIGIOUSVENUE-GOV-20,路桥区,浙江省,基督教,1995/7/1,ZJ-RELIGIOUSGROUP-GOV-31,4024,县团体,51331004502632753Y,浙江省台州市路桥区商城街625号,台州市,0576-82448213,ZJ-RELIGIOUSGROUP-PEOPLE-37,318050,路桥区基督教三自爱国运动委员会,
普陀区基督教协会,协会,ZJ-RELIGIOUSVENUE-GOV-92,普陀区,浙江省,基督教,1988/9/29,ZJ-RELIGIOUSGROUP-GOV-41,舟普民社证字第168号,县团体,51330903A98492017W,浙江省舟山市普陀区沈家门北安路88号,舟山市,0580-3051041,ZJ-RELIGIOUSGROUP-PEOPLE-165,316100,普陀区基督教协会,
兰溪市基督教协会,协会,ZJ-RELIGIOUSVENUE-GOV-14,兰溪市,浙江省,基督教,1987/1/1,ZJ-RELIGIOUSGROUP-GOV-64,兰民证字第070号,县团体,513000000000000000,浙江省金华市兰溪市兰溪基督教会,金华市,0579-83080568,ZJ-RELIGIOUSGROUP-PEOPLE-317,321100,兰溪市基督教协会,
绍兴市天主教爱国会,协会,ZJ-RELIGIOUSVENUE-GOV-41,330601,浙江省,天主教,2003/6/30,ZJ-RELIGIOUSGROUP-GOV-66,社证字第628号,市团体,513000000000000000,浙江省绍兴市越城区蕺山街道八字桥直街24号,绍兴市,0575-88656236,ZJ-RELIGIOUSGROUP-PEOPLE-334,312000,绍兴市天主教爱国会,
浙江省天主教教务委员会,协会,ZJ-RELIGIOUSVENUE-GOV-171,拱墅区,浙江省,天主教,2013/6/30,ZJ-RELIGIOUSGROUP-GOV-35,浙社证字第22009号,省团体,513000000000000000,浙江省杭州市中山北路415号,杭州市,0571-85151587,ZJ-RELIGIOUSGROUP-PEOPLE-331,310003,浙江省天主教教务委员会,http://www.cczj.org/
海曙区基督教三自爱国会,协会,,海曙区,浙江省,基督教,2018/3/21,ZJ-RELIGIOUSGROUP-GOV-97,浙甬海社证字第110348号,县团体,51330203MJ8961235X,浙江省宁波市长春路122号,宁波市,0574-88081614,ZJ-RELIGIOUSGROUP-PEOPLE-167,315000,海曙区基督教三自爱国会,
洞头区道教协会,协会,ZJ-RELIGIOUSVENUE-GOV-36,洞头区,浙江省,道教,1995/5/13,ZJ-RELIGIOUSGROUP-GOV-10,浙洞民社证字第056号,县团体,51330305A95193126B,浙江省温州市洞头区东屏街道东龙路24号,温州市,15057390991,ZJ-RELIGIOUSGROUP-PEOPLE-11,325700,洞头区道教协会,
滨江区基督教协会,协会,ZJ-RELIGIOUSVENUE-GOV-160,滨江区,浙江省,基督教,2007/11/8,ZJ-RELIGIOUSGROUP-GOV-3,2007--032,县团体,51330108668037292P,浙江省杭州市滨江区西兴街道西兴教堂内,杭州市,13588766202,ZJ-RELIGIOUSGROUP-PEOPLE-28,310051,滨江区基督教协会,
鹿城区基督教协会,协会,ZJ-RELIGIOUSVENUE-GOV-21,鹿城区,浙江省,基督教,2003/12/1,ZJ-RELIGIOUSGROUP-GOV-100,5.13E+17,县团体,513000000000000000,浙江省温州市江滨西路丽都大厦306室,温州市,0577-88988311,ZJ-RELIGIOUSGROUP-PEOPLE-343,325000,鹿城区基督教协会,
