name,type,bookLiteratureBorrowCount,bookShelfSingleLayerTotalLength,libraryLevel,libraryWebsiteAccess,actualPropertyArea,buildingArea,currentYearPurchasedPeriodicals,totalCirculationPersonTimes,totalCollection,county,isChildrenLibrary,isNormalOpen,validBorrowCardCount,newElectronicBookCount,newCollectionCount,electronicBook,organizationCode,computerCount,readingRoomSeatCount,address,city,phoneNumber,latitude,longitude,postalCode,id
金华市金东区公共图书馆,图书馆,2018年-108,2018年-8,2017年-无等级馆,2017年-0,2018年-3615,2017年-3615,2017年-105,2018年-194,2017年-98000,金东区,否,正常活动,2017年-0,2018年-0,2017年-5000,2017年-0,123307037,2018年-28,2018年-180,金华市金东区艾青路丽泽公园内（金华一中北门对面）,金华市,82172160,29.110862,119.719811,321000,金华市金东区公共图书馆
嵊州市图书馆,图书馆,2017年-480153,2016年-28590,2017年-一级馆,2018年-133580,2016年-3160,2017年-3160,2018年-549,2017年-915992,2018年-592829,嵊州市,否,正常活动,2018年-27085,2016年-3053,2016年-7839,2016年-4053,681694019,2018年-63,2018年-350,嵊州市龙会路26号,绍兴市,83011103,29.567327,120.837437,312400,嵊州市图书馆
仙居县图书馆,图书馆,2018年-883609,2018年-12428,2017年-二级馆,2016年-0,2018年-1440,2016年-1937,2017年-256,2018年-1501679,2017年-724383,仙居县,否,正常活动,2017年-20005,2017年-36000,2016年-23640,2016年-72000,798554562,2016年-49,2018年-1000,浙江省仙居县城关解放街2号,台州市,87772767,28.862208,120.748708,317300,仙居县图书馆
丽水市莲都区图书馆,图书馆,2016年-0,2018年-617,2016年-无等级馆,2016年-0,2016年-0,2017年-4600,2016年-0,2016年-15200,2018年-131233,莲都区,否,正常活动,2016年-0,2016年-9000,2016年-0,2018年-828000,323440158,2018年-53,2016年-0,浙江省丽水市莲都区人民街557号,丽水市,2186683,28.47018,119.929365,323000,丽水市莲都区图书馆
淳安县图书馆,图书馆,2017年-231404,2016年-479,2016年-二级馆,2018年-3032,2016年-1889,2017年-7354,2018年-386,2017年-489093,2018年-576900,淳安县,否,正常活动,2016年-382529,2017年-0,2017年-90596,2016年-3355,470420122,2016年-104,2016年-322,千岛湖镇青溪新城珍珠大道珍珠一路111号,杭州市,64823367,29.59682,119.113053,311700,淳安县图书馆
苍南县图书馆,图书馆,2018年-659306,2016年-4060,2017年-一级馆,2018年-90843,2018年-8385,2018年-9185,2017年-677,2017年-567105,2017年-1198628,苍南县,否,正常活动,2017年-51287,2017年-8000,2017年-48430,2016年-34489,47078708X,2016年-80,2018年-770,苍南县灵溪镇湖滨路58号,温州市,68871060,27.519773,120.432291,325800,苍南县图书馆
宁海县图书馆,图书馆,2017年-608575,2017年-5540,2017年-一级馆,2018年-24230,2016年-5000,2017年-5000,2016年-415,2017年-220720,2017年-438990,宁海县,否,正常活动,2018年-32063,2018年-0,2017年-22380,2017年-1020000,2966079,2017年-94,2017年-420,宁海县桃源街道桃源北路9号,宁波市,83556058,29.320802,121.448486,315600,宁海县图书馆
鹿城区图书馆,图书馆,2017年-248768,2018年-2111,2017年-无等级馆,2016年-32,2016年-3026,2017年-5916,2016年-46,2017年-795704,2017年-1026094,鹿城区,否,正常活动,2017年-25889,2016年-400,2018年-24669,2016年-200750,677227098,2016年-58,2018年-410,浙江省温州市鹿城区鞋都大道1130号,温州市,55577826,28.037228,120.600995,325000,鹿城区图书馆
永嘉县图书馆,图书馆,2018年-548732,2016年-3456,2018年-二级馆,2018年-0,2017年-1740,2017年-4857,2017年-798,2017年-558765,2016年-431832,永嘉县,否,正常活动,2017年-28182,2018年-50000,2017年-122700,2018年-300000,734535354,2017年-218,2017年-450,永嘉县上塘镇广场路61号,温州市,57673799,28.155473,120.696262,325100,永嘉县图书馆
金华严济慈图书馆（金华市图书馆）,图书馆,2018年-463185,2016年-7460,2016年-一级馆,2016年-116000,2018年-0,2017年-11396,2017年-822,2018年-1129464,2016年-348470,330701,否,正常活动,2018年-63175,2018年-0,2016年-81836,2018年-814646,556195130,2018年-127,2018年-614,永康街288号,金华市,82069522,29.088292,119.647539,321000,金华严济慈图书馆（金华市图书馆）
富阳区图书馆,图书馆,2018年-1169300,2017年-1600,2017年-一级馆,2017年-88141,2018年-3550,2018年-3550,2016年-757,2018年-393415,2017年-495280,富阳区,否,正常活动,2016年-600000,2017年-35000,2018年-26211,2017年-9541000,47033331X,2016年-72,2016年-411,浙江省富阳市富春街道富春路3号,杭州市,63323974,30.052783,119.969329,311400,富阳区图书馆
宁波市镇海区图书馆,图书馆,2016年-496958,2016年-0,2016年-一级馆,2016年-74000,2016年-9000,2016年-9000,2016年-732,2016年-413600,2016年-369427,镇海区,否,正常活动,2016年-20856,2016年-0,2016年-47535,2016年-17908,41956637X,2016年-140,2016年-400,招宝山街道人民路58号,宁波市,86274799,29.969986,121.601254,315200,宁波市镇海区图书馆
瓯海区图书馆,图书馆,2018年-1313300,2017年-0,2016年-三级馆,2018年-347965,2016年-0,2018年-29000,2018年-640,2016年-1124000,2016年-416613,瓯海区,否,正常活动,2016年-29688,2016年-0,2018年-224330,2018年-322812,E94886050,2017年-111,2016年-877,娄桥行政中心3号楼4楼,温州市,88521692,29.905593,121.850633,325000,瓯海区图书馆
龙泉市图书馆,图书馆,2018年-150763,2016年-1786,2017年-二级馆,2018年-6103,2016年-3678,2018年-5444,2017年-321,2016年-258767,2016年-192789,龙泉市,否,正常活动,2017年-9647,2016年-102850,2017年-14940,2017年-4604200,472401419,2018年-110,2016年-375,龙泉市贤良路人民广场内,丽水市,7128713,28.077902,119.148595,323700,龙泉市图书馆
温州市龙湾区图书馆,图书馆,2016年-240204,2016年-486,2018年-一级馆,2016年-150944,2017年-0,2017年-12145,2017年-489,2017年-1051005,2017年-454121,龙湾区,否,正常活动,2016年-16950,2016年-1800250,2016年-49053,2017年-1390995,660595003,2016年-36,2016年-796,温州市龙湾区永中街道龙康路89号,温州市,86968257,27.930114,120.814404,325058,温州市龙湾区图书馆
玉环市图书馆,图书馆,2018年-770232,2018年-4815,2018年-二级馆,2018年-24339,2018年-1215,2018年-1848,2018年-0,2018年-821089,2018年-780829,331021,否,正常活动,2018年-451695,2018年-0,2018年-40351,2018年-100000,,2018年-64,2018年-302,浙江台州玉环玉城街道城关广陵路69号,台州市,87221558,28.138622,121.239132,317600,玉环市图书馆
宁波大榭开发区图书馆（青少年宫）,图书馆,2018年-60545,2017年-1691,2017年-无等级馆,2017年-0,2017年-3006,2017年-3006,2018年-464,2018年-85483,2017年-93684,北仑区,否,正常活动,2018年-3391,2017年-3000,2018年-13468,2017年-3000,309027375,2017年-40,2017年-207,宁波北仑区大榭街道海山路103号,宁波市,86751562,29.906833,121.978479,315812,宁波大榭开发区图书馆（青少年宫）
龙游县图书馆,图书馆,2016年-204626,2016年-2740,2016年-二级馆,2018年-552439,2016年-1630,2018年-2140,2016年-185,2016年-199588,2016年-134657,龙游县,否,正常活动,2017年-10623,2018年-20000,2018年-25008,2016年-13500,E96276176,2017年-38,2016年-200,龙游县龙洲街道文化东路534号,衢州市,7021833,29.041231,119.184906,324400,龙游县图书馆
衢江区图书馆,图书馆,2018年-121309,2016年-0,2016年-二级馆,2017年-0,2016年-1600,2016年-1600,2018年-156,2017年-309463,2017年-173126,衢江区,否,正常活动,2017年-4163,2017年-0,2016年-15000,2016年-0,3308502,2018年-46,2016年-126,衢江区东方广场四楼衢江区图书馆,衢州市,2291507,28.983007,118.964368,324022,衢江区图书馆
岱山县图书馆,图书馆,2018年-258358,2017年-3861,2016年-一级馆,2017年-10732,2016年-0,2017年-7591,2016年-265,2018年-349771,2016年-263633,岱山县,否,正常活动,2016年-8543,2016年-0,2017年-14536,2017年-803584,472200449,2018年-50,2016年-260,岱山县高亭镇长河路126号,舟山市,4471570,30.251729,122.216134,316200,岱山县图书馆
海宁市图书馆,图书馆,2017年-2244840,2018年-31196,2018年-一级馆,2016年-752031,2016年-0,2018年-31576,2016年-2760,2016年-2611819,2016年-1517573,海宁市,否,正常活动,2017年-423274,2018年-14000,2017年-128844,2018年-1247000,471101123,2018年-835,2016年-6631,海宁市学林街60-62号,嘉兴市,89267507,30.511954,120.690587,314400,海宁市图书馆
义乌市图书馆,图书馆,2017年-606000,2017年-15000,2017年-一级馆,2018年-0,2018年-21658,2017年-21658,2018年-1100,2016年-564200,2018年-1077461,义乌市,否,正常活动,2017年-72263,2016年-0,2016年-46800,2016年-161606,471770781,2017年-100,2016年-1520,义乌市宗泽东路35号,金华市,85313300,29.320952,120.116795,322000,义乌市图书馆
杭州图书馆,图书馆,2017年-3134204,2016年-58508,2017年-一级馆,2016年-1011858,2017年-0,2017年-49488,2017年-3943,2016年-3725729,2017年-5640120,330101,否,正常活动,2016年-8751208,2016年-0,2017年-411281,2016年-205969,470115232,2017年-360,2017年-3949,杭州市解放东路58号,杭州市,86535018,30.251652,120.215197,310016,杭州图书馆
杭州市余杭区图书馆,图书馆,2017年-651521,2016年-6088,2017年-一级馆,2018年-74544,2017年-10931,2018年-10931,2017年-1196,2016年-1329460,2017年-899096,余杭区,否,正常活动,2018年-1466,2016年-3069,2017年-59194,2018年-1413043,470390867,2017年-123,2018年-477,临平世纪大道49号,杭州市,89188015,30.414308,120.315183,311100,杭州市余杭区图书馆
平阳县图书馆,图书馆,2016年-309060,2017年-220,2017年-三级馆,2016年-5200,2017年-2236,2017年-3286,2016年-416,2017年-786708,2018年-648163,平阳县,否,正常活动,2018年-53632,2017年-0,2018年-63840,2018年-324000,470760311,2018年-47,2018年-242,平阳县昆阳镇天来巷8号,温州市,63721597,27.670038,120.570399,325400,平阳县图书馆
松阳县图书馆,图书馆,2017年-120800,2018年-360,2017年-二级馆,2016年-10000,2018年-3119,2018年-3119,2018年-359,2017年-137900,2017年-223306,松阳县,否,正常活动,2016年-3989,2017年-0,2017年-5500,2017年-1300000,472520581,2016年-39,2017年-176,松阳县西屏镇白露岭路A2号,丽水市,8062339,28.457154,119.47869,323400,松阳县图书馆
杭州市拱墅区图书馆,图书馆,2016年-500000,2016年-2160,2017年-一级馆,2017年-7934,2018年-0,2016年-2500,2017年-580,2017年-993197,2018年-500099,拱墅区,否,正常活动,2016年-20000,2016年-0,2017年-37457,2017年-3000,TJ0503011,2018年-47,2017年-700,拱墅区北城街55号（拱墅区人防大厦B座）,杭州市,88162829,30.326067,120.132208,310015,杭州市拱墅区图书馆
黄岩区图书馆,图书馆,2017年-1169142,2016年-6330,2018年-一级馆,2018年-15866,2018年-798,2016年-17820,2016年-405,2017年-1718712,2018年-1318602,黄岩区,否,正常活动,2018年-16592,2016年-0,2017年-250348,2018年-941,754901139,2016年-34,2017年-155,黄岩区直下街20号,台州市,84113618,28.650456,121.26895,318020,黄岩区图书馆
嘉兴市图书馆,图书馆,2016年-2456784,2018年-19011,2018年-一级馆,2017年-1028638,2016年-0,2016年-31520,2017年-4024,2016年-3220421,2016年-2199880,330401,否,正常活动,2016年-181453,2016年-40000,2016年-174284,2017年-1581900,470890757,2017年-311,2016年-811,嘉兴市海盐塘路,嘉兴市,82535026,30.746127,120.771753,314001,嘉兴市图书馆
舟山市图书馆,图书馆,2016年-783804,2018年-14871,2018年-一级馆,2018年-166212,2018年-12360,2016年-12360,2017年-1567,2017年-768529,2017年-984679,330901,否,正常活动,2017年-79738,2018年-82,2016年-157745,2016年-3.33E+08,472092839,2017年-189,2016年-672,舟山市临城海天大道,舟山市,8063608,29.984099,122.227172,316000,舟山市图书馆
绍兴图书馆,图书馆,2018年-1956785,2016年-33273,2018年-一级馆,2018年-257158,2016年-16997,2016年-51913,2016年-5766,2018年-1926026,2017年-1774257,330601,否,正常活动,2017年-188143,2016年-17298,2016年-98920,2016年-230525,471321038,2016年-258,2017年-2094,浙江省绍兴市洋江西路530号,绍兴市,88338215,30.055332,120.58918,312000,绍兴图书馆
台州市图书馆,图书馆,2017年-977478,2017年-17361,2018年-一级馆,2018年-1103230,2016年-0,2018年-21230,2018年-1173,2017年-2100153,2017年-764865,331001,否,正常活动,2016年-69076,2017年-39860,2018年-80945,2017年-1201850,689992010,2017年-167,2018年-1343,台州市和谐路168号,台州市,88221530,28.664178,121.423511,318000,台州市图书馆
台州市椒江区图书馆,图书馆,2018年-700689,2017年-1870,2017年-一级馆,2016年-49628,2018年-3600,2017年-7380,2017年-436,2017年-1661231,2018年-755510,椒江区,否,正常活动,2017年-18938,2016年-0,2017年-154981,2017年-2469971,472630238,2017年-51,2018年-412,浙江省台州市椒江区东枫山路16号,台州市,88801732,28.676225,121.450156,318000,台州市椒江区图书馆
文成县图书馆,图书馆,2018年-385919,2017年-2010,2017年-二级馆,2017年-40240,2017年-10141,2017年-10141,2018年-948,2016年-339831,2018年-490997,文成县,否,正常活动,2018年-22534,2016年-0,2016年-53403,2016年-200000,470800619,2017年-147,2016年-560,文成县大峃伯温路118号,温州市,67864376,27.796758,120.099168,325300,文成县图书馆
武义县图书馆,图书馆,2017年-217742,2016年-7914,2017年-一级馆,2017年-23346,2017年-7007,2016年-6090,2018年-258,2016年-298511,2016年-285475,武义县,否,正常活动,2018年-11702,2017年-8000,2017年-12275,2017年-73272,471651061,2016年-53,2016年-347,武川中路18号,金华市,87631595,28.907386,119.831008,321200,武义县图书馆
永康市图书馆,图书馆,2016年-161057,2018年-870,2017年-一级馆,2017年-10455,2016年-8453,2017年-8453,2018年-741,2017年-394524,2016年-378283,永康市,否,正常活动,2018年-27936,2016年-0,2017年-23000,2018年-1005000,471831951,2018年-72,2016年-240,永康市紫微中路138号,金华市,87135370,28.905238,120.032615,321300,永康市图书馆
青田县图书馆,图书馆,2016年-48147,2016年-3056,2016年-三级馆,2016年-46203,2016年-0,2017年-5420,2018年-634,2018年-1020081,2018年-238430,青田县,否,正常活动,2016年-3680,2018年-180000,2016年-17500,2018年-180000,E96586721,2016年-45,2018年-266,临江东路56号,丽水市,6823348,28.138144,120.299757,323900,青田县图书馆
泰顺县图书馆,图书馆,2017年-303743,2016年-6,2018年-一级馆,2016年-15080,2016年-1020,2017年-8390,2017年-407,2018年-582148,2017年-303667,泰顺县,否,正常活动,2016年-9067,2016年-0,2018年-49781,2018年-210000,470830455,2017年-161,2018年-1225,泰顺县罗阳镇南大街书山弄3-8号,温州市,67583693,27.559885,119.720927,325500,泰顺县图书馆
温州市少儿图书馆,图书馆,2018年-1834029,2016年-5074,2018年-一级馆,2017年-2620818,2018年-9416,2018年-9416,2017年-560,2018年-1352134,2016年-1000184,330301,是,正常活动,2018年-181714,2018年-0,2017年-90728,2016年-15008,735251679,2016年-130,2017年-876,温州市园西巷2号,温州市,56610187,28.019138,120.672676,325000,温州市少儿图书馆
景宁畲族自治县图书馆,图书馆,2018年-161327,2016年-2269,2017年-无等级馆,2016年-5120,2017年-0,2018年-3633,2017年-280,2017年-265805,2018年-128851,景宁畲族自治县,否,正常活动,2016年-6911,2016年-200,2017年-5559,2018年-1112223,472550115,2017年-46,2018年-200,景宁畲族自治县鹤溪中路33号,丽水市,5093356,27.975359,119.644605,323500,景宁畲族自治县图书馆
浦江县图书馆,图书馆,2017年-188200,2018年-5600,2016年-一级馆,2016年-9630,2018年-2500,2016年-3100,2017年-369,2017年-312200,2018年-429120,浦江县,否,正常活动,2017年-14893,2017年-11166,2017年-35225,2017年-115324,471680049,2017年-65,2017年-280,浙江省浦江县浦阳镇书画街62号,金华市,84112451,29.456618,119.904156,322200,浦江县图书馆
磐安县图书馆,图书馆,2016年-73425,2018年-5927,2016年-一级馆,2017年-179527,2018年-3036,2017年-3036,2016年-233,2018年-168593,2018年-279424,磐安县,否,正常活动,2017年-5272,2017年-18000,2016年-30467,2017年-7600,471710658,2017年-43,2016年-200,磐安县海螺街43号,金华市,84661410,29.058997,120.449883,322300,磐安县图书馆
台州市路桥区图书馆,图书馆,2016年-414804,2017年-8820,2016年-无等级馆,2018年-23930,2018年-0,2016年-24690,2016年-911,2018年-1122166,2016年-267914,路桥区,否,正常活动,2018年-4818,2017年-500000,2016年-42129,2016年-1000000,786431960,2017年-125,2016年-323,台州市路桥区路北街道腾达路1300号,台州市,82589621,28.59728,121.355153,318050,台州市路桥区图书馆
杭州市下城区图书馆,图书馆,2018年-573726,2018年-450,2017年-一级馆,2017年-200000,2016年-0,2016年-4500,2017年-300,2018年-1100000,2018年-377152,拱墅区,否,正常活动,2016年-41566,2016年-0,2018年-17152,2017年-202500,68580035X,2017年-57,2017年-650,下城区潮王路8号,杭州市,85332517,30.29673,120.175985,310014,杭州市下城区图书馆
庆元县图书馆,图书馆,2018年-117925,2016年-1246,2017年-三级馆,2018年-0,2017年-681,2017年-1381,2018年-0,2018年-172033,2018年-137998,庆元县,否,正常活动,2017年-0,2016年-5,2017年-7753,2016年-12,472430498,2017年-25,2016年-80,松源镇濛洲街132号,丽水市,6113269,27.623824,119.076519,323800,庆元县图书馆
长兴县图书馆,图书馆,2016年-934093,2018年-7250,2018年-一级馆,2018年-1028273,2016年-0,2016年-11000,2017年-902,2018年-1311600,2018年-586786,长兴县,是,正常活动,2016年-40312,2017年-1325,2017年-11761,2018年-3500,471260298,2018年-70,2018年-800,浙江省长兴县植物园路2号,湖州市,6227911,31.03314,119.913147,313100,长兴县图书馆
安吉县图书馆,图书馆,2016年-115000,2016年-3760,2017年-一级馆,2017年-170000,2017年-3600,2016年-3600,2018年-220,2016年-205000,2018年-312376,安吉县,否,正常活动,2016年-15750,2016年-0,2017年-7000,2016年-50000,471280408,2018年-42,2017年-340,安吉县递铺镇天目路635号,湖州市,5022335,30.645559,119.704353,313300,安吉县图书馆
平湖市图书馆,图书馆,2018年-1217412,2017年-8054,2016年-一级馆,2018年-7544276,2017年-7720,2017年-13730,2018年-1623,2016年-1226952,2018年-1027681,平湖市,否,正常活动,2016年-58785,2016年-0,2017年-46688,2018年-2657992,471141424,2016年-266,2017年-1647,当湖街道三港路,嘉兴市,85108268/85108266,30.703493,121.044586,314200,平湖市图书馆
东阳市图书馆,图书馆,2017年-335950,2017年-6657,2017年-一级馆,2016年-0,2017年-5156,2018年-5546,2016年-533,2017年-339116,2018年-516106,东阳市,否,正常活动,2017年-20589,2018年-20000,2017年-24863,2017年-20000,660566579,2017年-76,2017年-365,东阳市黉门广场南路45号,金华市,86099294,29.295861,120.248422,322100,东阳市图书馆
丽水市图书馆,图书馆,2016年-149844,2016年-2673,2016年-无等级馆,2016年-552311,2017年-1553,2018年-1693,2017年-495,2017年-190000,2017年-388194,331101,否,正常活动,2018年-17719,2018年-0,2016年-16567,2018年-1000000,472311069,2018年-60,2018年-45,丽水市文昌路144号,丽水市,2272080,28.449608,119.923136,323000,丽水市图书馆
德清县图书馆,图书馆,2017年-758000,2018年-4537,2017年-一级馆,2018年-947334,2017年-10243,2016年-10243,2016年-281,2017年-1103500,2016年-403413,德清县,否,正常活动,2017年-40143,2017年-100000,2017年-49412,2016年-142822,471220296,2018年-125,2017年-524,武康镇千秋东街2号,湖州市,8064347,30.54602,120.006109,313200,德清县图书馆
衢州市图书馆,图书馆,2016年-712000,2016年-5080,2017年-无等级馆,2017年-56318,2017年-0,2018年-13105,2018年-588,2017年-704426,2016年-663172,330801,否,正常活动,2018年-56654,2016年-0,2016年-23747,2017年-4700,47186581X,2016年-64,2017年-164,三衢路319号,衢州市,8758185,28.950087,118.887189,324000,衢州市图书馆
缙云县图书馆,图书馆,2017年-368716,2016年-8470,2016年-二级馆,2017年-7220,2018年-4300,2017年-6535,2016年-600,2016年-147300,2018年-402889,缙云县,否,正常活动,2016年-3499,2016年-6482,2017年-23114,2018年-437144,472461091,2017年-84,2017年-735,缙云县五云街道溪滨南路45号,丽水市,3122622,28.651843,120.077024,321400,缙云县图书馆
宁波市鄞州区图书馆,图书馆,2018年-1987167,2017年-7500,2018年-一级馆,2018年-36130,2016年-0,2017年-28594,2017年-2581,2018年-4754488,2016年-1408445,鄞州区,否,正常活动,2018年-651273,2018年-0,2016年-150877,2018年-1410000,419612735,2018年-374,2017年-1901,浙江省宁波市鄞州区钱湖南路928号,宁波市,88126558,29.812198,121.566244,315100,宁波市鄞州区图书馆
温州市洞头区图书馆,图书馆,,,一级馆,,,,,,,洞头区,否,正常活动,,,,,,,,洞头县北岙街道新城区市民活动中心,温州市,,27.844884,121.154541,325700,温州市洞头区图书馆
温州市图书馆,图书馆,2018年-2079322,2017年-75600,2018年-一级馆,2018年-1189788,2018年-32000,2016年-36170,2018年-2018,2017年-4457647,2016年-2337131,330301,否,正常活动,2017年-247766,2018年-14600,2018年-235166,2016年-2353986,470523017,2018年-419,2017年-2443,温州市市府路506号,温州市,88957525,27.998942,120.703967,325000,温州市图书馆
宁波市图书馆,图书馆,2018年-2656946,2016年-17414,2017年-二级馆,2016年-8721300,2018年-10812,2017年-15368,2017年-2115,2016年-1368234,2017年-2378295,海曙区,否,正常活动,2017年-172171,2017年-12106,2016年-99014,2018年-3395347,41952927X,2016年-276,2016年-1106,浙江省宁波市海曙区永丰路135号,宁波市,87247257,29.888835,121.555085,315010,宁波市图书馆
奉化区图书馆,图书馆,2018年-519884,2017年-1000,2018年-一级馆,2017年-360,2017年-35,2018年-17043,2017年-428,2017年-516926,2016年-219519,330283,否,正常活动,2017年-14651,2017年-310,2016年-5600,2016年-2515,41971882,2018年-51,2017年-423,奉化市中山东路16号,宁波市,88905922,29.669991,121.42497,315500,奉化区图书馆
嘉善县图书馆,图书馆,2016年-864835,2018年-7360,2016年-一级馆,2018年-10150,2016年-4302,2016年-4302,2018年-1241,2016年-1941244,2018年-1056676,嘉善县,否,正常活动,2017年-284751,2016年-410992,2017年-18881,2018年-500992,471001392,2016年-62,2017年-308,谈公北路57号,嘉兴市,84128543,30.850722,120.936545,314100,嘉善县图书馆
常山县图书馆,图书馆,2017年-84560,2016年-533,2018年-二级馆,2018年-0,2017年-0,2018年-2741,2016年-0,2018年-105700,2018年-319432,常山县,否,正常活动,2017年-3973,2018年-0,2016年-1892,2018年-1000000,471971815,2018年-92,2018年-188,常山县天马街道人民路119号,衢州市,5017364,28.903831,118.51794,324200,常山县图书馆
天台县图书馆,图书馆,2018年-537110,2017年-2146,2018年-二级馆,2016年-0,2018年-1658,2018年-6448,2017年-196,2016年-1120000,2016年-150433,天台县,否,正常活动,2016年-5724,2017年-1000,2018年-40111,2018年-77354,799629626,2017年-34,2018年-400,天台县赤城街道劳动路27号,台州市,83880298,29.144508,121.037237,317200,天台县图书馆
开化县图书馆,图书馆,2018年-152130,2017年-1480,2016年-无等级馆,2016年-0,2017年-1655,2016年-1655,2018年-221,2018年-140156,2018年-329492,开化县,否,正常活动,2016年-5597,2017年-80000,2016年-14732,2017年-125603,472001028,2018年-93,2016年-208,开化县城关镇6号,衢州市,6014288,29.143188,118.421459,324300,开化县图书馆
宁波市北仑区图书馆,图书馆,2017年-1557000,2016年-56355,2017年-一级馆,2016年-184687,2017年-16610,2017年-16610,2016年-1243,2017年-995000,2018年-760080,北仑区,否,正常活动,2016年-10495,2017年-0,2016年-51912,2016年-2100000,419560306,2017年-90,2016年-800,宁波市北仑区中河南路288号,宁波市,86781983,29.895923,121.83223,315800,宁波市北仑区图书馆
诸暨市图书馆,图书馆,2017年-405000,2016年-7280,2018年-一级馆,2017年-407311,2016年-9000,2017年-9000,2017年-695,2016年-1040348,2017年-617013,诸暨市,否,正常活动,2016年-12607,2018年-45000,2017年-37060,2016年-43300,471480397,2017年-69,2018年-577,诸暨市暨阳街道浦阳路77号,绍兴市,89251969,29.753329,120.256411,311800,诸暨市图书馆
象山县图书馆,图书馆,2018年-390000,2018年-3500,2016年-一级馆,2017年-307364,2017年-2880,2016年-7080,2017年-368,2018年-400000,2016年-433982,象山县,否,正常活动,2017年-35497,2017年-0,2016年-12377,2016年-0,41957533X,2018年-62,2016年-396,丹东街道教育园区内,宁波市,65776720,29.47617,121.907937,315700,象山县图书馆
